---
Bogennummer: '44790'
Ort: Bellmund
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 79ab159f-a536-40fd-9266-b0bfe4f8b295
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:50.642593'
...
WS1	Im Winter flüge die trochene Bletter i der Luft ume.
WS2	Es hört grad uf schneie, de wirds [wird's?] Wätter besser.
WS3	Tue Chole i Ofe, dass d'Miuch glie afot choche.
WS5	Är isch vor vier oder sächs Wuche gschtorbe.
WS7	Är isst d'Eier gäng ohni Sauz u Pfäffer.
WS8	D'fuess düe mer fescht weh, i gloube, i heig se dür-glüffe.
WS9	I bi bi der frou gsie u ha res gseit, u sie het gseit, sie wöus ihrem Meitli ou säge.
WS10	I wots o nümme me mache.
WS11	I schloh der grad s'Cheueli um d'Ohre, du Aff.
WS12	Wo geisch hie, söue mer mitcho?
WS13	Es si schlächti Zite.
WS14	Mis liebe Ching, blib do unger stoh, die böse Gäns bisse di z'Tod.
WS15	Du hesch hüt em meischte glehrt u bisch brav gsie, du darfsch ender hei aus di angere.
WS16	Du bisch no nid gross gnue für ne fläsche Wie uszdrinke, du muesch zersch no chlei wachse u gross wärde.
WS34	Das Wort isch im vo Härze cho.
WS36	Was hocke do für Vögeli obe - n - uf em Mürli.
