---
Bogennummer: '44792'
Ort: Worben
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 79ab159f-a536-40fd-9266-b0bfe4f8b295
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:57.890606'
...
WS1	Jm Winter flüge die trochene Bletter i dr Luft ume.
WS2	Es hört graad uuf schneie, de wird de z'Wätter wider besser.
WS3	Tue Chole i Ofe, dass d'Miuch gly afaht choche.
WS4	Dr guet aut Ma isch mit em Ross igheit u i ds chaute Wasser gheit.
WS5	är isch vor vier oder sächs Wuche gschtorbe.
WS6	Ds Füür isch z'schtarch gsi, die Chueche sy jo unger ganz schwarz. (brönnt)
WS7	är isst d'Eier gäng oni Sauz u Pfäffer.
WS8	D'Füess tüe mer so weh, i gloube, i sig dürgloffe.
WS9	J bi bi dr Frou gsi u han-er-es gseit, u si het gseit, si wöus de irer Tochter o säge.
WS10	J wotts de o nie meh wider mache.
WS11	J houe dr grad mit em Chochlöffu um d'Ohre ume, du Aff!
WS12	Wo geisch hi, söu-e-m-er mit-er cho?
WS14	Mys liebs Ching, blib do unger schtah, die böse Gens bysse di tod.
