---
Bogennummer: '44812'
Ort: Täuffelen
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: a65238f7-0190-42c6-88cc-613ac205893f
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:56.810548'
...
WS1	Jm Winter flüge die trochene Bletter i dr Luft umenang (auch: desume).
WS2	Es hört grad uf schneie, de wird 's Wätter ume besser. (auch: Es hört gli uf z'schneie, de wird de ds Wätter wieder besser).
WS3	Tue Chole i Ofe, dass d'Milch gli (auch: bald) afot choche. 
WS4	"Dr guet alt Ma isch mit em Ross u mit (nicht ""dür"" im Sinne von ""durch"") em Ysch igheit u-n i's Wasser gheit (auch: gfalle = vornehmer ausgedrückt)"
WS5	Er isch vor vier oder sächs Wuche g'storbe. 
WS6	Ds Für isch z'starch gsi, d'Chueche (auch: die Chueche) si jo unger (auch: ungeruf) ganz schwarz brönnt. 
WS7	Er isst d'Eier gäng (auch: immer) ohni Salz u Pfäffer. 
WS8	D'Füess tüe mr fest (auch: starch) weh, i gloube i heig se düreglüffe. (auch: i ha se düregloffe)
WS9	J bi bi dr Frou gsi u ha-n-er-es gseit u sie het gseit, sie well's o ihrer Tochter säge. (auch: ha-r-es gseit)
WS10	J will's o nid meh wieder tue. (J wott's o nümme tue).
WS11	J haue dr grad mit em Chochlöffu uf d'Ohre, du Aff! (auch: J gibe dr grad mit em Chochlöffi zu de Ohre, du Aff!)
WS12	"Wo geisch du hi, söi mr mit dr cho (""cho"" = kommen, ""goh"" = gehen empfinden wir als fremd)"
WS13	Es sy schlächti Zyte !
WS14	Mys liebs Ching (auch: Mys liebe Ching), blib hie unger stoh, die böse Gäns bysse di z'tot. (auch: bysse di tot) 
WS15	Du hesch hüt em meischte glehrt u bisch artig gsi, du darfsch früecher hei goh als die angere. 
WS16	Du bisch no nid gross gnue, um (auch: für) e Fläsche Wy usz'trinke, du muesch zerscht no öppis wachse u grösser wärde. 
WS17	Gang, bisch so guet u säg dyr Schweschter, sie sou (auch: söu) d'Chleider für öüy (auch: öüry) Mueter fertig näie u mit dr Bürschte suber mache. 
WS18	Hättisch du ne kennt (auch: du ihn kennt), de wär es (auch: de wär's) angers cho, u es tät besser um ihn stoh.
WS19	Wär het mr my Chorb mit Fleisch g'stohle?
WS20	Er het so to (auch: eso to), als hätt sie ne zum Drösche bstellt (auch: als ob sie ne zum Drösche bstellt hätti), sie hei's aber sälber to.
WS21	Wäm het är die nöüyi Gscjhicht erzellt?
WS22	"Mi mues lut brüele (nicht ""schreye""), süsch versteit er üs nid (auch: er is nid) (ü = kurz)"
WS23	Mir sy müed u hei Durscht. 
WS24	Wo mr geschter em Obe (auch: geschter z'Obe) zrügg cho sy, do sy die angere scho im Bett gläge u hei fescht g'schlofe.
WS25	Dr Schnee isch die Nacht bi üs blibe liege, aber hüt em Morge isch er vergange. 
WS26	Hinger üsem Hus stöh drü schöni Öpfuböimli mit rote Öpfeli. 
WS27	Chöit ihr nid no es Ougeblickli uf üs warte, de göh mr mit öich. 
WS28	Jhr dörfet nid söttigi Chindereie (auch: Chingereie) trybe. 
WS29	Üsi Bärge sy nid grad so höch (auch nid sehr höch), eüy sy vil höcher 
WS30	Wie mängs Pfung Wurscht u wie mängs Brot weyt ihr ha?
WS31	J verstange öüch nid, ihr müest es bitzeli (auch: e chly) lüter rede. 
WS32	Heit ihr keis Stückli wyssi Seife für mi uf mym Tisch g'funge?
WS33	Sy Brueder wot sich zwöi schöni nöüi Hüser i öüem Garte boue. 
WS34	Ds Wort isch ihm vo Härze (auch: vom Härze) cho. 
WS35	Das isch rächt gsi vo öüch! (auch: öich)
WS36	Was hocke (auch: sitze) do für Vögeli obe uf em Mürli. 
WS37	Die Bure hei füf Ochse, u nün Chüeh u zwölf Schöfli vor's Dorf brocht, die hei sie welle verchoufe. 
WS38	D' Lüt s hüt alli duss uf em Fäl (auch: uf em Fäld) u mäie. 
WS39	Gang nume, dä brun Hung tue dir nüt. 
