---
Bogennummer: '44813'
Ort: Walperswil
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: f0b5a1bf-02ba-4aec-a0c1-7b99f54e4a0a
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:57.440937'
...
WS23	Mer si müed u hei Durscht.
WS24	Wo mer geschter z'Obe ume cho si, do si die angere scho im Bett g'si u hei g[sch]loofe.
WS25	Der Schnee isch die Nacht bi üüs ligge bliebe aber hüt de Morge isch är gschmou[ze].
WS26	Hinger üsem Hus stöh drü schöni Opfuböimli mit rote Öpfeli.
WS27	Cheut dir nit no nes Ougeblickli uf üs warte, de gange mer mit ech.
WS28	Ihr dörfet nit söttigi Chindereie triibe
WS29	Üsi Bärge si nid e so höch, eui si viu höcher
WS30	Wie viu Pfung Wurscht u wie viu Brot weit-er.
WS31	J verstange nech nid, dir müesst es bitzeli luter rede
WS32	Heit ihr keis Schtückli wiissi Seife für mi uf mim Tisch g'funge
WS33	Si Brueder wott si zwöi schöni, neui Hüser i öiem Garte baue
WS34	Das Wort isch ihm vo Härze cho
WS35	Das isch rächt gsi vo ne.
WS36	Was hocke da für Vögeli obe uf däm Müürli.
WS37	D'Buure hei föif Ochse u nün Chüe u zwouf Schööfli vor d's Dorf brunge, die hei si wöue verchaufe.
WS38	D'Lüt si hüt aui dusse uf em Fäud u mäie
WS39	Gang nume, dr brun Hung tuet dr nüt
WS40	J bi mit de Lüt do hinger uber d'Matte i z'Chorn g'fahre.
