---
Bogennummer: '44819'
Ort: Seedorf
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: a65238f7-0190-42c6-88cc-613ac205893f
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:56.369768'
...
WS1	Jm Winter flüge die türe Bletter i der Luft desume. 
WS2	Es hört sofort uf schneie, de wir'ds Wätter wieder besser. 
WS3	Tue Chole i Ofe, dass d'Milch gly afaht choche!
WS4	Dä guet, alt Ma isch mit sim Ross im Ysch ybroche u i'd's chaut Wasser gheits.
WS5	Är isch vor vier oder sächs Wuche gschtorbe. 
WS6	Ds Füür isch zschtarch gsi, d'Chueche si ungeruf ganz verbrönnt.
WS7	Är isst d'Eier gäng ohni Sauz u Pfäffer. 
WS8	D'Füess tüe mer hert weh, i gloub, i heig se dürgloffe. 
WS9	J bi bi der Frou gsy u hares gseit u sie het gseit, sie wöus ihrer Tochter o säge. 
WS10	J wotts o nit no einisch mache.
WS11	J schlah der grad d'Chewe um d'Ohre, du Aff!
WS12	Wo geisch hi, söu mer mit der cho?
WS13	Es si schlächti Zyte. 
WS14	Blib hie unger stah. liebs Ching, süsch bysse di d'Gäns z'tot. 
WS15	Du hesch hüt am meischte glehrt u bisch lieb gsy, du chasch ender hei aus die angere. 
WS16	Du bisch no z'chly für ne Fläsche Wy z'trinke, du muesch z'ersch no ne chlei wachse u gröser wärde. 
WS17	Bisch so guet u gang u säge der Schweschter, sie söu d'Cheider für eui Mueter fertig mache u se usbürschte. 
WS18	Hättisch nit der glyche ta, du chennisch ne nüt, de wärs angers cho u är wär besser dra. 
WS19	Wär het mer my Chorb mit dem Fleisch gschtole?
WS20	Är het derglyche ta, sie heigene agschtellt für cho z'drösche, sie heis aber säuber gmacht. 
WS21	Wäm het är die neui Gschicht verzeut?
WS22	Me muess lut brüele, süsch versteit er üs nit. 
WS23	Mir si müed u hei Durscht.
WS24	Geschter am Abe, wo mer si hei cho, si die angere scho im Bett gsi u hei gschlafe. 
WS25	Letschti Nacht isch der Schnee bi üs blibe lige, aber dä Morge isch er vergange. 
WS26	Hinger üsem Hus si drei schöni Öpfelböimli mit chlyne rote Öpfeli. 
WS27	Cheuter nit nones Ougeblicki warte, nachhär chöme mer de mit nech. 
WS28	Dir dörfit nit söttigi Chindereie mache. 
WS29	Üsi Bärge si nit so höch, eui si viel höcher. 
WS30	Wie mängs Pfung Wurscht u wieviel Brot weiter?
WS31	J verschtah nech nit, dir müesst es Bitzeli luter rede. 
WS32	Heit er kes Bitzeli wyssi Seife uf mym Tisch gseh?
WS33	Sie Brueder wott i euem Garte zweu schöni neui Hüsli la boue. 
WS34	Das Wort isch vo Härze cho. 
WS35	Das isch rächt gsi von ech. 
WS36	Was hocke da für Vögeli uf em Mürli?
WS37	D'Bure hei feuf Stiere, nün Chüeh u zwöuf Schäfli vors Dorf brunge, sie hei se wölle verchoufe. 
WS38	D'Lüt si hüt aui dusse uf em Fäld u mäje.
WS39	Gang nume, der brun Hung macht der nüt!
WS40	J bi mit dene Lüt wo dahinger wohne, über d'Matte i d's Chorn gfahre. 
