---
Bogennummer: '44821'
Ort: Baggwil
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: a65238f7-0190-42c6-88cc-613ac205893f
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:50.502227'
...
WS1	Jm Winter flüge die trochene Bletter i der Luft ume. 
WS2	Es hört gli uf z'schneie, de wird d's Wätter wieder besser. 
WS3	Tue Chohle i Ofe, dass d'Miuch bau afat (afät) choche. 
WS4	Dä guet, aut Ma isch mit em Ross (Gaul) uf em Jjsch ibroche u'n i d's Wasser g'faue. 
WS5	Är isch vor vier oder sächs Wuche g'storbe. 
WS6	Das Füür isch z'starch gsi, die Chueche si ja ungernahe ganz schwarz.
WS7	Är isst d'Eier geng ohni Sauz u Pfäffer. 
WS8	D'Füess tüe mer weh, i glaube, i heig se dürgloffe. 
WS9	J bi bi der Frau g'si u han er es g'seit, und si het gseit, si wöus de o ihrer Tochter säge. 
WS10	J wot's o nit meh tue. 
WS11	J haue der grad mit dem Chochlöffu um d'Ohre, du Aff!
WS12	Wo geisch hi, söue mer mit der gah (cho)?
WS13	Es si schlächti Zyte. 
WS14	Liebs Ching, blib hie unge stah, die böse Gäns bissen di z'tot. 
WS15	Du hesch hüt am meiste glehrt, u bisch artig gsi, du darfsch früecher hei ga aus die angere. 
WS16	Du bisch no nit gross gnue für ne Fläsche Wi usz'trinke, du muesch z'erscht no chli wachse u grösser wärde. 
WS17	Gang, bis so guet u säg dir Schwöschter, si söu die Chleider für eui Muetter fertig näie u mit der Bürschte suber mache. 
WS18	Hättisch du ne g'kennt! de wär es angers cho un es tät besser um ihn stah. 
WS19	Wär het mer mi Chorb mit dem Fleisch g'stohle?
WS20	Er het so ta, wie wenn sie ne zum Drösche b'steut hätte; si hei's aber säuber ta. 
WS21	Wäm het er die neui G'schicht erzeut?
WS22	Me muess lut brüele, süsch versteit er is nid. 
WS23	Mir si müed u hei Durscht. 
WS24	Wo mer gester am Abe z'rügg cho si, da si die angere scho im Bett gsi u hei fest g'schlafe. 
WS25	Der Schnee ist diesi Nacht bi üs bliebe liege, aber hüt am Morge isch er g'schmulze. 
WS26	Hinger üsem Huus stangen drei schöni Öpfubäumli mit rote Öpfeli. 
WS27	Chöüt er nit no en Ougeblick uff üs warte, de gange mer mit euch. 
WS28	D'ihr dörfet nit so chindlech tue. 
WS29	Üsi Bärge si nit so höch, eui si viu höcher.
WS30	Wieviu (wie mengs) Pfung Wurscht u wieviu Brot weit er ha?
WS31	J verstange'n ech nid, d'ihr müesst e chli luter rede. 
WS32	Heit er keis Stück wissi Seife für mi uf mim Tisch g'funge?
WS33	Si Brueder wot sech zweu schöni, neui Hüser i euem Garte baue. 
WS34	Das Wort isch ihm vo Härze cho. 
WS35	Das isch rächt gsi vo ne.
WS36	Was für Vögeli hocke da obe uf däm Müürli?
WS37	Die Bure hei für Stiere u nün Chüe u zwöuf Schäfli vor d's Dorf bracht g'ha, die hei sie wöue verchoufe. 
WS38	Die Lüt si hüt aui dusse uf em Fäud u mäie. 
WS39	Gang nume, der brun Hung tuet d'er nüt. 
WS40	J bi mit dene Lüt da hinge über d'Matte i d's Chorn g'fahre. 
