---
Bogennummer: '44842'
Ort: Seewen
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: c127e1f3-f368-44ee-85ce-b483260ee298
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:56.385878'
...
WS1	Im Winter fliege die trochene Blätter i dr Luft umme.
WS2	Es hört glih uf schneie, drno wird s' Wätter wieder besser.
WS3	Tue Chohlen-in Ofe, ass d' Milch glih afot choche.
WS4	Dr guet alt Ma isch mitem Ross durs Isch broche und is chalt Wasser gheit.
WS5	Er isch vor vier oder sechs Woche gschtorbe.
WS6	S# Für isch z' starch gsi, d' Chueche si jo unge ganz schwarz brennt.
WS7	Er isst d' Eier immer ohni Salz und Pfäffer.
WS8	D' Füess tüe mer fest weh, i glaube, i heigse duregloffe.
WS9	I bi bi dr Frau gsi und haner-es gseit und sie het gseit, sie wells au ihrer Tochter säge.
WS10	I will' s au nümme meh tue.
WS11	I schlo dr gli dr Chochlöffel um d' Ohren-umme, du Aff.
WS12	Wo gosch hie, sölle mer mit-er cho?
WS13	Es si schlechti Zyte!
WS14	Mi liebs Ching, blib do unde stoh, die böse Gänse bisse die süscht z' tod.
WS15	Du hesch hüt am meischte glehrt und bisch brav gsi, du darfsch ender hei go ass die angere.
WS16	Du bisch no-ni gross gnue, für-ne Fläsche Wy us z' trinke, du muescht zerscht no ne chli wachse und grösser wärde.
WS17	Gang, bis so guet und säg diner Schweschter, si söll d' Chleider für euri Mueter fertig näie und mit dr Bürschte sufer mache.
WS18	Hetsch du ihn kennt! Drno wärs angersch cho und s' tät besser um ihn stoh.
WS19	Wer het mer min Chorb mit-em Fleisch gschtohle?
WS20	Er het dr gliche to, as hätte si ihn zum Drösche b' stellt, sie heis aber selber gmacht.
WS21	Wem het er die neue Gschichte verzellt?
WS22	Me muess lut brüela, süst verstoht er is nit.
WS23	Mer si müed und hei Durscht.
WS24	Wo mer gester z' Obe zrugg cho si, si die angere scho im Bett gsi und hei fest g' schlofe.
WS25	Dr Schnee isch die letschti Nacht bi eus ligge blibe aber hüt am Morge isch er vergange.
WS26	Hinger eusem Hus stöh drei schöni Öpfelbäum mit roten-Öpfeli.
WS27	Chönnt-er nid no e Rüngli uf-is warte, drno gömmer met-ech.
WS28	Dir dörfet nit so dummi Sache mache.
WS29	Eusi Bärge si nit so höch, euri si viell höcher.
WS30	Wie mäng Pfung Würscht und wie viel Brot weit er ha?
WS31	I verstoh-n-ech nit, dir müend e chli luter rede.
WS32	Heit-er nid e Stückli wyssi Seifi uf mim Tisch g' funge.
WS33	Si Brueder will zweu schöni neui Hüser i eusem Garte baue.
WS34	S# Wort isch-em vo Härze cho! 
WS35	Das isch recht gsi von ihne.
WS36	Was sitze do für Vögeli uf-em Mürli obe?
WS37	D# Bure hei feuf Stiere und nün Chüe und zwölf Schöfli vor s' Dorf use brocht, si hei se welle verchaufe.
WS38	D# Lüt si hüt alli uf em Fäld usse und mähje.
WS39	Gang numme, dr brun Hung macht-er nüt.
WS40	I bi mit de Lüte do hinge über d' Matten is Chorn g' fahre.
