---
Bogennummer: '44853'
Ort: Hemmiken
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:52.873817'
...
WS24	Wo mer gester zrugg cho si, so si di andere scho im Bett glege und si fest im Schlof gsi.
WS25	Dr Schnee isch die Nacht bi eus blibe ligge am Morge isch er vergange gsi.
WS26	Hinder eusim Huus stönde drü schöne Öpfelbäumli mit rote Öpfeli.
WS27	Chönnet er nit no en' Augeblick uffis warte, denn gönge mir mit ech.
WS28	Ihr dörfet nit so Kindereie tribe.
WS29	Eusi Bärge si net grad höch, die eurige si höcher.
WS30	Wievill Wurst und wie vill Brot weit er ?
WS31	I verston'ech nitt, dr müend e chli lutter schwätze.
WS32	Heider kei Stückli wissi Seifi uf mi Disch gfunde.
WS33	Si Brùede will si zweu schöni neui Hüser in eue Garte boue.
WS34	"Das Wort isch ihn [""ihm""?] usim Härze cho."
WS35	Das isch recht gsi vonne.
WS36	Was sitze do für Vögeli uf dem Mürli obe.
WS37	Bure hei feuf Ochse und nün Chüe und zwölf Schöfli vors Dorf brocht, die hei si welle verchaufe.
WS38	D'Lüte si alle duss uf em Feld und mäie.
WS39	Gang nŭmme, dr brun Hind tuet dr nütt.
WS40	I bi mit dene Lütt do hinde über d'Wiese ins Chorn ine g'fahre.
