---
Bogennummer: '44862'
Ort: Oltingen
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:55.207049'
...
WS1	"Im Winter flīēge die drochne [oder ""trochne""?] Bletter i der Luft ume."
WS2	Es hört gly uf mit Schneie, derno wird's Wetter wieder besser.
WS3	Tue Holz is Öfeli, dass d'Milch gly afoht z'choche.
WS4	Dä guet olt Ma isch mit em Ross im Is ibroche und is cholt Wasser gheit.
WS5	Er isch vor vier oder sächs Wuche gschtorbe.
WS6	s'Für isch z'schtarch gsy, d'Chueche si jo unde ganz schwarz v̱erbrennt.
WS7	Är isst d'Eier allewyl ohni Solz und Pfäffer.
WS8	"d'Fuess tüe mer eso weh i glaub i ha wundgloffe. [über ""wundgloffe"":] sie offe."
WS9	I bi bi der Frau gsy und haner es gseit und sie het gseit si wells im Maitli au säge.
WS10	I wills au nümm mache.
WS11	I hau der grad mit im Chelle um d'Ohre, du Aff.
WS12	Wo gosch ane, sölle mer mit der cho.
WS13	Es sy schlechti Zyte.
