---
Bogennummer: '44865'
Ort: Wittinsburg
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:57.836947'
...
WS5	Er isch vor viär oder sächs Wuchä gstorbä.
WS6	s'Füür isch z'stark gsi, d'Chuechä si jo unde ganz schwarz brennt.
WS7	Er isst d'Eier allewil ohni Solz und Pfäffer.
WS8	D'Füess tüeie mr fescht weh, i glaubä, i ha-sä durägloffe.
WS9	I bi bi dr Frau gsi uns han-eres gsait, und si het gsait, si well's au ihrem Maitli säge.
WS10	I will's au nie meh mache.
WS11	I schlo dr grad mit-em Chochlöffel um d'Ohre, du Aff !
WS12	Wo gosch ane, selle mr mit dr cho ? -
WS13	Es si schlächti Zite !
WS14	Mis lieb Chind, blib do unde stoh, die böse Gäns bisse di z'tod.
WS15	Du hesch hüt am merschte gleert und bisch brav gsi, du darfsch ehnter hei go weder die andere.
WS16	Du bisch noni gross gnue für e Fläsche Wii usz'trinke, du muesch zerscht no ne chli wachse und grösser wärde.
WS17	Gang, bisch so guet und säg diner Schweschter, si sett d'Chleider für euchi Muetter fertig näie und mit dr Bürschte suber mache.
WS18	Hätt'sch ihn kennt ! denn wer's anderscht cho, und es tet besser um ihn stoh.
WS19	Wär het mr mi Chorb mit Fleisch gschtohle ?
WS20	Er het so to, as hätt-es-en zum Drösche bschtellt, si hei's aber sälber to.
WS21	Wämm het-er die neui Gschicht verzellt ?
WS22	Me muess lut schreie, süscht verstoht er is nit.
WS23	Mr si müed und hei Durscht.
WS24	Wo-mer geschter zobe zrugg cho si, si die andere scho im Bett gläge und si fescht am Schlofe gsi.
WS25	Dr Schnee isch die Nacht bi eus blibe ligge, aber hüt am Morge isch er abgange.
WS26	Hinder eusim Huus schtönde drü schöni Öpfelbäumli mit rote-n-Öpfeli.
WS27	Chönned-är nit no nes Augeblickli uff is warte, drno gönge mr mit ech.
WS28	Dir dörfed nit settigi Chindereie tribe.
WS29	Eusi Bärge si nit so höch, euchi si vill höcher.
WS30	Wievill Pfund Würscht und wievill Brot weit-er ha ?
WS31	I verstoh-n-ech nit, dr müesst e chli lüter schwätze.
WS32	Heit-er keis Stückli wissi Seifi für mi uff mim Tisch gfunde ?
WS33	Si Brüeder will für ihn zwöi schöni neui Hüser in euchim Garte boue.
WS34	Das Wort isch ihm vo Härze cho !
WS35	Das isch rächt gsi von-ech !
WS36	Was sitze do für Vögeli uff däm Mürli obe ?
WS37	Die Buure hei föif Schtiere und nün Chüeh und zwölf Schöfli vor s'Dorf bracht; die hei si welle verchaufe.
WS38	Die Lüt si hüt alli ufem Fäld usse und mäie.
WS39	Gang numme, dr brun Hund macht d nüt.
WS40	I bi mit de Lüt do hinde über d'Matte-n-ins Chorn gfahre.
