---
Bogennummer: '44908'
Ort: Neuenhof
Gid: 15156
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2024-05-28 15:52:04.906596
Änderungsdatum: 2024-05-28 15:52:04.906596
Satzversion: 1
...
WS1	ìm wi̇̀nter flǖǖged di trochchne {zunächst 'trochne} Blètter i̇̀ de̊r lùft ùme.
WS2	e̊s höört grad ūūf schnèije ùnd s'wä̀tter wēērd wēder besser.
WS3	tuè chòle i̇̀ òfe dass d' mi̇̀lch bald afèd chochche {zunächst 'choche'}.
WS4	de̊ guèt alt maa i̇̀sch mi̇̀t e̊m ross dùrs iis dùrpròche ùnd i̇̀ chalt wasser ièfalle.
WS5	e̊r i̇̀sch vòr vie̊r òder sächs wòchche {zunächst 'woche'} gschtōrbe.
WS6	s' füür i̇̀sch z' schtarch gsii, d' chuèche si̇̀nd ùnde ganz verbrännt
WS7	e̊r i̇̀sst d' eier immer oone salz und pfäffer
WS8	p' füüs {zunächst 'pfüäs'} tüemer schtarch wee i glaube i bi̇̀ wund.
WS9	i bi̇̀ bi de̊r frau gsi ùnd han e̊r e̊s gsèid ùnd si hèd gsèid sē wèlls de̊r tochter säge
WS10	J wi̇̀lls au nǜmme mache
WS11	"i hau de̊r mi̇̀t e̊m chòchlöffel ǜber t' oore {zunächst ""d' oore""}, du aff."
WS12	wo gòsch ane ? sollet me̊r mi̇̀tchōō ?
WS13	e̊s si̇̀nd schläächti {zunächst 'schlächti'} ziite.
WS14	du lie̊bs chi̇̀nd, bliib dò ùnde stàà {zunächst 'stòò'} sōsch tööde̊ti̇̀ di bööse gänse
WS15	duu hèsch hǜt am mēēschte glēērt ùnd bēscht ōōrdli gsii, drùm chasch ēēner hèi as di̇̀ andere
WS16	duu bēsch nò z' chlii fǜr e̊ flàschsche {zunächst 'flasche'} wii z' trinke, de̊ muèsch z' ērsch na chlii wachse ùnd gröösser werde.
WS17	bi̇̀ss so guèt ùnd gang, sääg diiner schwöschter sē sèll d' chleider fǜr öii {zunächst 'eue'} muèter {zunächst 'muètter'} nèije ùnd suuber abböörschte. ̊{steht im Anschluss an Wenker-Satz 18, ist aber korrekt nummeriert} 
WS18	hettisch e̊ du kännt so wärs andersch chōō ùnd schtie̊nd {zunächst 'stie̊nd'} besser ume. {Steht bei der gedruckten Nummer 17, ist aber korrekt nummeriert}
WS19	wèr hèd me̊r mii chōōrb gstòle wo flèisch dri̇̀nn gsii isch
WS20	e̊r hèd sŏ tòò wie̊ wènn se̊ zùm trö̆schsche {zunächst 'trö̆sche'} agschtèllt gha hètted  sē hènds aber sèlber gmacht.
WS21	wèm hèd e̊r diè nöi {zunächst 'neu'} gschi̇̀cht verzellt.
WS22	me̊r mùess brüele sōsch verstaad e̊r i̇̀s nööd
WS23	me̊r sìnd müed ùnd hènd {zunächst 'hemd'} toorscht {zunächst 'torscht'}.
WS24	wo me̊r gèschter z' òòbig zrùgg chōō si̇̀nd si̇̀nd di̇̀ andere schō i̇̀m bett gsii hènd schō fescht gschlòòfe.
WS25	de̊ schnee i̇̀sch ùber d' nacht blēbe aber am morge ēsch e̊r vergange.
WS26	hèndere {'er' ist durchgestrichen} e̊m huus schtönd drèi {zunächst 'drèij'} ö̀pfelböim {zunächst 'ö̀pfelbeum'} mi̇̀t roote òpfel {zunächst 'òpfele'}
WS27	chònd ēēr nēd nò e̊n augebli̇̀ck ùf ēs {zunächst 'ēēs'} waarte {zunächst 'warte'}, dänn gömmer mi̇̀t.
WS28	e̊r törfed ė kē dère chinderèije machche {zunächst 'mache'}.
WS29	öisi {zunächst 'eusi'} berg si̇̀nd nēd hööch, öiji {zunächst 'eui'} si̇̀nd hööcher
