---
Bogennummer: '44930'
Ort: Waldenburg
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:57.384272'
...
WS30	Wie mängs Pfuund Würscht und wievill Brot weit'r ha ?
WS31	I verstohnech nit, d'r müeset es bitzeli lüter schwätze.
WS32	Heit'r keis Stückli wyssi Seife für mi uff mim Tisch gfunde
WS33	Si Brüeder will zwöi schöni neui Hüser in euim Garte boue.
WS34	Das Wort isch em vo Härze cho.
WS35	Das isch rächt gsi (vo ine) vonene.
WS36	Was hocke do für Vögeli uff däm Mürli obe.
WS37	D'Bure hei föif Stiere und nün Chüe und zwölf Schöfli vors Dorf brocht, die häi si welle verchaufe.
WS38	D'Lüt si hütt alli ufem Land usse und mäie.
WS39	Gang nŭmme, d'r brun Hund macht d'r nüt.
WS40	I bi mit de Lüt do hinde über d'Matte ins Chorn gfahre.
