---
Bogennummer: '44939'
Ort: Trimbach
Sprache: ''
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz Excel Import
Transliterent: ''
Anmerkungen: ''
Erstelldatum: '2024-04-15 09:49:51.872285'
...
WS1	Im Winter flüge die trochene Bletter i der Lŭft ŭme. 
WS2	Es hört grad ŭf schneie, de wird s' Wätter wieder besser. 
WS3	Tŭe Chole i Ofe, dass d' Mülch gli afot choche. 
WS4	Dä gŭet alt Maa isch mit em Ross dŭr s' Isch broche ŭnd is chalte Wasser gfaŭe. 
WS5	Er isch vor vier oder sächs Wŭche gschtorbe. 
WS6	S' Füür isch z'starch gsi, d'Chŭeche si jo ŭnde ganz schwarz abrönnt. 
WS7	Er isst d'Eier immer ohni Saŭz und Pfäffer. 
WS8	Pfüess tüe mer fescht weh, i gloŭbe, i ha se dŭregloŭffe. 
WS9	I bi bi-der Froŭ gsi und haner-es gseit, und si het gseit, si wöŭ's aŭder Tochter säge.
WS10	I wiŭ's aŭ nüme mache. 
WS11	I schloh-der grad mit der Cheŭ̱e ŭm d'Ohre, dŭ Aff. 
WS12	Wo gosch häre, mü-mer mit der cho?
WS13	Es si schlächti Zitte. 
WS14	Liebs Chind, blib do ŭnde stoh, die böse Gäns bisse-di z'tod. 
WS15	Du hesch hüt am meischte glehrt ŭnd bisch artig gsi, dŭ darfsch ender hei goh als die andere.
WS16	Dŭ bisch no nit gross gnŭe, für-ne Fläsche Wii ŭs ztrinke, dŭ mŭesch z'erst no chli wachse und grösser wärde. 
WS17	Gang, bisch so gŭet, und säg di-n-er Schweschter, si soll d'Kleider für eŭchi Mŭeter fertig näie und mit der Bürschte sŭber mache. 
WS18	Hättsch-ne gchennt, de wär's anders cho ŭnd es würd besser ŭm-ne stoh. 
WS19	Wer het-mer mi Chorb mit em Fleisch gschtole. 
WS20	Er het eso toh, wie wenn-se-ne zŭm Drösche bschtellt hätte, si hei's aber selber gmacht. 
WS21	Wäm het-er die̱ neŭi G'schicht verzellt? 
WS22	Me mŭess lŭt brüele, süsch verschtoht er-is nit. 
WS23	Mir si müed ŭnd hei Dŭrscht. 
WS24	Wo m-er geschter z'Obe hei cho si, si die andere scho im Bett gsi ŭnd hei fescht gschlofe. 
WS25	Der Schnee isch die̱ Nacht bi eŭs blibe ligge, aber hüt am Morge isch er vergange. 
WS26	Hinter eŭsem Hus stöi drü schöni Öpfelbäŭmli mit rote Öpfeli. 
WS27	Chönnet-er nit no e Oŭgeblick uf eŭs warte, de göm-mer mit-ech. 
WS28	Dir dörfet nit settigi Chindereie triibe. 
WS29	Eŭsi Bärge si nit so höch, eŭchi sii viŭ höcher. 
WS30	Wie mängs Pfund Würscht ŭnd wieviŭ Brot meŭt-er hat? 
WS32	I verschtoh-n-ech nit, dir müeit es bitzeli lütter rede. 
WS33	Si Brüeder wott s'ech zweŭ schöni Hüser i eŭchem Garte boŭe. 
WS34	S' Wort isch-im vo Herze cho. 
WS35	Dasch recht gsi vo-ne-ne. 
WS36	Was hocke do für Vögeli uf em Mürli?
WS37	D' Bŭre hei feŭf Mŭnine und nün Chüe und zwölf Schööfli vor 's' Dorf brocht; die̱ hei si wöŭ-e verchoŭfe. 
WS38	D' Lüt si hüt aŭ-i dŭsse uf-em Fäŭ̱d und tüe mäihe. 
WS39	Gang nŭme, der brŭn Hŭnd macht-er nüt. 
WS40	I bi mit den-e Lüt do hinde über d'Matte is Chorn g fahre. 
