---
Bogennummer: '45002'
Ort: Niederwil
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:54.846379'
...
WS1	Im Winter flüge die trochne Bletter i dr Luft ume.
WS2	Es hört grad ud schneie, de wird s' Wätter wider besser.
WS3	Tue Chohle i Ofe, as d' Milch gly afo choche.
WS4	Dä guet alt Ma isch mit em Ross dur's Ys broche und i 's chalte Wasser gfalle.
WS5	Er isch vo vier oder sächs Wuche gschtorbe.
WS6	S' Füür isch z' schtarch gsi, dChueche si unde jo ganz schwarz brönnt.
WS7	Er isst d' Eier immer ohni Salz und Pfäffer.
WS8	D' Füess tüemer fescht weh, i glaub, i ha se dureglaufe.
WS9	I bi bi dr Frau gsi und haneres gseit, und si het gseit, si well 's au irer Tochter säge.
WS10	I wott 's au nie meh mache !
WS11	I schloh dr grad der Chochlöffel um d' Ohre, du Aff !
WS12	Wo hi gohsch, selle mr mit dr cho ?
WS13	Es si schlächti Zyte !
