---
Bogennummer: '45021'
Ort: Safenwil
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:55.917505'
...
WS19	Wär hètt me̊r mī chōōrb mìt e̊m flèisch gschtòle [ein zweites 'ò' scheint durchgestrichen?] ?
WS20	e̊r hètt de̊rglihe tòò, wì wenn si ne̊ zùm drö̀schen aagschtèuwt hätte, si händs aber säuwber tòò.
WS21	i wèmm hètt e̊r di nȫji gschìcht verzèuwt ?
WS23	mìr sìnd müe̊d ùnd händ tùùrscht.
WS24	Wō me̊r gèschter z'  òòbe zrùgg chōō sìnd, sìnd di ande̊re schō  ìm bètt glǟǟge ùnd fèscht am schlòòffe gsii.
WS26	hìnder ȫisem huus stö̀ö̀nd drüü schȫȫni ö̀pfubö̀imli mìt roten ö̀pfeline̊.
WS27	chö̀ne̊ de̊r nìd nò ne̊s òugeblìckli ùf is waarte, denn gö̀ö̀mme̊r mìt e̊ch.
WS28	de̊r tö̀rfe̊t nìd dère chìnde̊rēie triibe.
WS29	ȫisi bäärge sìnd nìd e̊so hȫȫch, ȫiji sìnd vìuw hȫȫcher.
WS30	wìmängs pfùnd wùùrscht und wìvìuw brōōt wände̊r haa ?
WS31	i verschtòòne̊ch nìd, dìr müe̊nd e̊s bitze̊li lüüte̊r rède.
WS33	si brüe̊der wòtt e̊m zwö̀i schȫȫni nȫiji hüüser i ȫije̊m gaarte bōuwe
WS34	das wōōrt ìscht e̊m vōm häärze chōō.
WS35	das ìscht rächt gsii vònne̊.
WS38	d' lüüt sìnd hǜtt àuwi ùfe̊m fäuwd ùssen ùnd määije.
WS39	gang nùme, de̊ bruun hùnd tue̊t de̊r nüüt.
WS40	i bì mìt de̊ lüüte dò hìnden ǜbers fäuwd is chòrn ie̊ gfahre.
