---
Bogennummer: '45025'
Ort: Strengelbach
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: f842d85b-0902-41cf-9c80-3483919b2215
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:56.694959'
...
WS1	Im winter flüüge die trochne bletter i der luft ume.
WS2	es hört grad uuf schneie, denn wird s'wätter wider besser
WS3	tue chole-n-i ofe, dass d'miuwch bauwd afott choche
WS4	de guet aut Maa ist mit de rosse durs iis proche und is chalt (-auw-?) wasser gfauwe
WS5	er ist [sch] vor vier oder sächs w[o]che gstoorbe
WS6	s'füür ist z'starch gsii, d'[...] sind jo unde ganz schwarz aaprönt.
WS7	Er isst d'eier immer oni sauwz
WS8	pfüess tüem-mer häfti wee, i gloube i heig-si du[..ro?] glouffe.
WS9	i bi bi der frouw gsii und harn-eres gseit, und si he gseit, si weuw's ouw ihrer tochter säge
WS10	i weuws ouw nümme tue.
WS11	i houw der graad mit-em chochlöffu um d'ore, du aff!
WS12	wo gooscht du he, sewe-mer mit-der goo?
WS13	Es sind schlächti ziite!
WS14	mis lieb chind, bliib d[..] unde stoo, di böse gäns bisse-di z'tod!
WS15	du hescht hüt am meisten gleert um-bist artig g'sii, du tarfsch früecher heigoo auws di andere
WS16	du bist no-nig gross gnue, um e fläsche wii ussztrinke, du muescht no e chlii wachse-n-und grösser wärde.
WS17	Gang, biss so guet und säg din-er schwöster, sie seuw di chleider für oiji muetter fertig näije um-miter bürste butze
WS18	hättisch-du-n-e kennt! de wär's anderscht usechoo und es stund besser um-in
WS19	wär het-mer mi chorb mit fleisch g'stole?
WS20	er het too, we wenn sie-n-e zum trösche bsteuwt hätte; sie händ's aber säuwber too.
WS21	Wemm het-er die nöi gschicht erzeuwt!
WS22	me muess luut brüele, soscht verstoot-ir öis need
WS23	mer sind müed und händ turscht.
WS24	wo mir gester zoobe zrugg chöme, do ligge die andere scho im bett und sind fest am schloofe gsii.
WS25	de schnee ist dur d'nacht bi ois ligge blibe, aber hüt am morgen ist er g'schmouze
WS26	hinder oisem huus stöönd drüü schöni opfuböimli mit rote öpfeli
WS27	chöne-d'er ned no e-n-augeblick (es augeblickli) of is warte, de göm-mer mit-ech.
WS28	ihr törffet ned settigi chindereie triibe.
WS29	öisi bärge sind nid so höch, öiji sind viuw hööcher
WS30	wi viuw pfund würscht und weviuw brot wänn-d-ir.
WS31	i verstoon-ech need, ihr müend e chlii luter spräche.
WS32	hänn-d-er keis stückli wiissi seipfe für mee of mim tisch gfunde?
WS33	si brüeder wott-sich zwöi schöni nöiji hüüser i öijem garte bouwe.
WS34	das wort isch-em us em härze choo.
WS35	das ist rächt gsi von-e-ne.
WS36	was für vögeli hocke uf em müürli obe.
WS37	puure händ föif ochse und nüün chüe und zwöuf schööfli vor's dorf procht, die händs's weuwe verchoufe
WS38	d'lüüt sind hüt auwi dusse uf em fäuwd und mäje
WS39	gang nume, de brun hund tuet-er nüt.
WS40	i bi mit de lüüte do hinde über d'matte is chorn gfaare.
