---
Bogennummer: '45029'
Ort: Reidermoos
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:55.425647'
...
WS30	We mängs Pfond Worscht ond we vöu [mit Bleistift darüber:] (auch [unterstrichen:] vell ) Brot wennder ?
WS31	E verschtohnech ned, d' er mönd e chli luter rede.
WS32	Hend er ned es Schtöckli wissi Seipfi för mech of mim Tesch g' fonde ?
WS33	Si Brüeder wott sech zwöi schöni nöii Hüser e euem [darüber mit Bleistift:] (auch öiem)  Garte boue.
WS34	Das Wort eschem vo Härze cho.
WS35	Das esch rächt gsi vo ehne (vonech.)
WS36	Was setze do för Vögeli ofem Mürli obe ?
WS37	d' Buure hend föif Schtiere (oder Munene) ond nün Chüe ond zwöuf Schöfli vors Dorf brocht, die hendsi welle verchoufe.
WS38	D' Lüt send hött alli ofem Fäld osse n' ond mäiid.
WS39	Gang nor, de brun Hond machter nüd.
WS40	E be met de Lüte do hende [mit Bleistift eingefügt:] n'  öbere Grasblätz es Chorn gfahre.
