---
Bogennummer: '45037'
Ort: Uerkheim
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:57.025535'
...
WS22	me̊ muess luut brüele, söscht verschtòòt e̊r is (öis) need.
WS23	"mer sìnd müed und händ doorscht [rote Korrektur: ""dùùrscht""]."
WS24	wo mér gèschter zòòbe heicho sìnd, sìnd di andere scho ìm bètt gsii ùnd händ fèscht gschlòòfe
WS25	de schnee ìsch hǜt z'nacht (die nacht) bì öis legge plìbe, aber am morge ìsch ér gschmouze.
WS26	hìnder öisem huus stö̀ö̀nd drüü schööni ö̀pfubö̀imli mit rote-n-öpfle.
WS27	chö̀nne̊der ned (e̊s) nònés òugeblìckli warte ùf is, de chö̀mme̊me̊r mìt e̊ch.
WS28	"der dörfe̊d ned [rot korrigiert: ""nìd""] sö̀ttigi chindereie mache."
WS29	öisi bäärge sìnd ned so hööch, öji sìnd vìuw hööcher.
WS30	wì vìuw pfùnd wuurscht ùnd wì vìuw brot wänder.
WS31	i verstòòne̊ch ned, der müend e̊ chli lüüter rede.
WS32	händer kèis stǜckli wiissi sèipfe ùf mim tìsch gfùnde.
WS33	si brüeder wott se̊ch zwö̀i schönni nöji hüüser ì öjem gaarte bouwe.
WS34	das woort ìsch ém vò Häärze choo.
WS35	das ìsch rächt gsii vone̊ne̊
WS36	was fǜr vö̀geli sìtze dò òbe ùf ém müürli
WS37	Puure händ föif stiere ùnd nüün chüe ünd zwöuf schö̀ö̀fli vòrs doorf bròòcht, die händ si wöuwe verchòufe.
WS38	d'lüüt sìnd hǜt auwi dùsse ùf e̊m fäuwd ùnd mäjie
WS39	gang nùme, de bruun hùnd tuet (macht) de̊r nüüt.
WS40	i bì mìt dé lüüte dò hìnde ǜbers s'land (d'matte) ìs chorn ie gfaare.
