---
Bogennummer: '45052'
Ort: Attelwil
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:50.435381'
...
WS30	wie̊ mängs pfund wùùrscht und wie̊ vìuw brōōt wänd e̊r ?
WS31	ii verstòò nech nìt, dr müend e̊ chlì lǖǖter rède.
WS32	händ er kes stück sèipfe fǜr mìì ùfrm tìsch gfùnde ?
WS33	sìì brüeder wòtt sèch zwöi nö̀iji hǖǖser ì öijem garte in bouwe.
WS34	das wòòrt chùnt e̊m vò häärze.
WS35	dasch rächt gsīī vonènè
WS36	was hòcke dòò fūr vö̀geli ùfem mǖǖrli òbe.
WS37	"d'būūre händ föif stière und nǖǖn chüeh, zwö̀uf schö̀ö̀fli vors dorf bbròòcht, diè [oder ""dii""?] wänd sì verchoufe."
WS38	d'lǖǖt sìnd hütt auwi ùfem fäuwd ùsse und mäije.
WS39	gang nùme, dr brūūn hùnd macht der nǖǖt.
WS40	i bì mit de̊ lǖǖte dò hinde ǜber d'matte īs chorn gfaare.
