---
Bogennummer: '45056'
Ort: Niederhallwil (Hallwil)
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:54.787907'
...
WS28	er dörfe ned dère chìnderèie triibe.
WS29	öisi bärge sìnd ned so höch, öìi sìnd viuw höcher.
WS30	wìmängs pfùnd wörscht ùnd wìvìuw broòt wänder ?
WS31	i verschtòò-n-ech ned, er müend es bìtzeli lüüter rède !
WS32	händ er e kès stöckli wiissi seife för mee ùf mim tìsch gfùnde ?
WS33	si brüeder wott zwöi schöni nöìi hüüser i öiem garte bouwe.
WS34	das woort ìsch em vo härze choo !
WS35	das ìsch rächt gsii vo ne ne.
WS36	was hòcke dò för vögeli ùf em müürli òbe ?
WS37	d'buure händ föif stiere ùnd nüün chüe ùnd zwöuwf schööfli vòr s'dorf broocht gha, si händ si weuwe vercha(ä)ufe.
WS38	d'lüüt sìnd hött auwi ùf em fa(ä)uwd ùsse ùnd tüend mèie.
WS39	gang nùme, de bruun hùnd macht dr nüüt.
