---
Bogennummer: '45075'
Ort: Buttwil
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:51.297171'
...
WS1	"ìm wìnter flüügid di trochne bletter i de luft ùme [doch nicht etwa ""ìnne""?]."
WS2	es hörrt jez (iez) de schnèie, de werd s'wätter wìder besser.
WS3	Tue chòle-n-i òfe, as d'mìlch glii süüt.
WS4	dè guet alt maa  ìscht uf èm iis ipròche nd is chalt wasser gfalle.
WS5	er ìscht vor vier oder sächs woche gschtōōrbe.
WS6	s'füür escht-tschtörch gsii, d'chueche sìnd jo unde ganz verbrö̀nnt.
WS7	er ēsst-t'eier eister oni salz un - pfäffer.
WS8	d'füess tüem-mer fèscht (starch) weh, i glaube, i heig's dùre gloffe.
WS9	i bē bē der Frau gsii und ha-nè res gseid, und si hed g'seid, si wèlls de au ìrer tòchter säge.
WS10	i wot's (wēlls) jo au nǜmme mache (tue).
WS11	i hau - de̊r mit de̊r chèlle grad eis um tore-n-ùme, du aff.
WS12	wo goscht hēe, sèlid-mer mìt-de̊r choo ?
WS13	s'sìnd schlächt ziite !
