---
Bogennummer: '45077'
Ort: Bellach
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:50.633308'
...
WS1	Im Winter flüge die trochne Bletter i der Luft ume.
WS2	Es hört grad uf schniye, de wird s' Wätter wider besser.
WS3	Tue Chole-n-i Ofe, ass d' Müuch gly foht afo choche.
WS4	"Dä guet aut Ma isch mit em Ross durs Ysch broche und is chaute Wasser  ghiyt [zunächst ""gheit"", dann 'ei' mit 'iy' überschrieben, deshalb steht i-Punkt über 'y', vgl. Satz 2]."
WS5	Är isch vor vier oder sächs Wuche gstorbe.
WS6	S' Füür isch z' starch gsi, die Chueche sy jo ungenoche ganz schwarz abrönnt.
WS7	Är isst d' Eier immer ohni Saz u. Pfäffer.
WS8	D' Füess tüe mir eländ weh, i glaube, ig heb se duregloffe.
WS9	Ig bi bi der Frau gsi und ha-n-er es gseit,und si het' gseit, si wöu s au ihrer Tochter säge.
WS10	Ig wotts au nümme mache.
WS11	Ig schloh der jetz de der Chochlöffu um d' Ohre, du Aff.
WS12	Wo gosch hi, söue mir mit-er cho ?
WS13	Es sy schlächti Zyte !
WS14	"Blyb du do unge stoh,  Ching [zunächst ""Chind"", dann 'd' mit 'g' überschrieben], die böse Gäns bysse di z' tot."
WS15	Du hesch hüt am meischte glehrt und bisch brav gsi, du darfsch früecher hei as die angere.
WS16	Du bisch noni gross gnue für ne Fläsche Wy us z' trinke, du muesch z' erscht no chly wachse u. grösser wärde
WS17	Gang, bisch so guet und säg dyr Schweschter, sy söu die Chleider für eui Muetter fertig näie u. mit der Bürschte suber mache.
WS18	Hätsch du ne könnt !  de wärs angersch use cho, und es tät besser stoh mit-em.
WS19	Wär het mir my Chorb mit em Fleisch gstohle ?
WS20	Är het derglyche do, si hebene zum Drösche bstöut, aber si heis säuber gmacht.
WS21	Wämm [Verdoppelungsstrich auf 'm'] het er die neui Gschicht verzöut ?
WS22	Me mues lut brüele, süsch versteit-er-is nit.
WS23	Mir sy müed und hei Durscht.
WS24	Wo mer geschter z' Obe zrugg cho sy, do sy die angere scho im Bett gläge u. sy fescht am Schlofe gsi.
WS25	Der Schnee isch die Nacht bi üs blẏbe ligge, aber hüt-e-morge het 's ne gnoh.
WS26	Hinger üsem Hus stöh drü Opfelbäumli mit rote-n-Öpfeli.
WS27	Chönnet-er nit no ne Ougeblick  [oben eingefügt:] uf-üs  warte, mir chöme de mit üich.
WS28	Dir dörfet nit settigi Chindereie trybe.
WS29	Üsi Bärge sy nit grad höch, eui sy vil höcher.
WS30	Wie mängs Pfung Wurscht u. wie mängs Brot müesst der ha ?
WS31	Ig verstoh-n-ech nit, dir müesst chlei lüter rede.
WS32	Heit er nit es Stückli wyssi Seife für mi u mym Disch gfunne.
WS33	Sy Brueder woll für ihn zwöi schöni neui Hüser i euem Garte büue.
WS34	Das isch em vo Härze cho.
WS35	Das isch rächt gsi vo-n-ech.
WS36	Was hocke do für Vüögeli uf em Müürli obe ?
WS37	D Buure hei füif Ochse und nün Chüe u. zwöuf Schöfli vors Dorf brocht, die hei si wöue verchaufe.
WS38	D' Lüt sy hüt alli duss uf em Fäud und mäie.
WS39	Gang numme [Verdoppelungsstrich auf 'm'], dä brun Hung macht der nüt.
WS40	I bi mit dene Lüt do hinge über d' Matte is Chorn gfahre.
