---
Bogennummer: '45087'
Ort: Flumenthal
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 490d1ab4-5ca5-445c-961e-545a480eca03
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:52.146535'
...
WS2	Es hört grad uf schneie, denn wird's Wätter wi[...]der besser.
WS3	Tue Cho[...]le i Ofe, ass d'Milch bald afot choche.
WS5	Er isch vor vier oder s[ä]chs Wuche gs[ch]torbe.
WS6	s'Füür isch z's[ch]tarch gsi, d'Chueche sy ja unger uf ganz verbrönnt.
WS7	Er isst d'Eier gäng ohni Salz und Pfäffer.
WS8	D'Füess t[ü]e mr ganz weh, i-glaube, ig heig-se wund gloffe.
WS9	I bi bi dr Frau gsi u ha-ne-res gseit, und s[i] het gseit, s[i] wölls au i[...]rer Tochter säge.
WS10	I wills au nümme mache!
WS11	I schlo-dr grad mit-em Chochlöffel um d'Ohre, du Aff!
WS12	Wo geisch hi, sölle mr mit-er goh?
WS13	Es sy schlächt[i] Zyte!
WS14	Mys liebe Chind, bli[i]b do unde s[ch]toh, die böse Gäns bisse di tot.
WS15	Du hesch hüt am meischte glehrt und bisch artig gsi[...], du darfsch früecher hei go as di[...] andere.
WS16	Du bisch no nid gross gnue für ne Fläsche Wy usz'trinke, du muesch zersch no wachse und grösser wärde.
WS17	Gang bisch so guet und säg dir Schwös[ch]ter, s[i] söll d'Chleider für eui Muetter fertig nä[...]ie und mit dr Bürschte suber mache.
WS18	Hättsch du ne könnt! denn wärs angersch cho, und es tät besser umne s[ch]toh.
WS19	Wär het mir mi Chorb mit Fleisch g'schto[...]le?
WS20	Er het so to, as hätte si-ne zum Drösche bschtellt; si heis aber sälber gmacht.
WS21	Wäm het er di[...] neui Gschicht verzöllt?
WS22	M[e] muess lut brüele, süsch verstoht er is nit.
WS23	Mr si müed und hei Dorscht.
WS24	Wo mr geschter z'Obe zrugg cho sy, s[y] di[...] andere scho im Bett gläge und [hei] fescht gschlofe.
WS25	Dr Schnee isch di[...] let[scht] Nacht bi üs bli[...]be ligge, aber hü de-morge isch-er gschmolze.
WS26	Hinger üsem Huus s[ch]töh drü schöni Öpfelbäumli mit rote Öpfeli.
WS27	Chönnt-er nit no nes Augeblickli uf is warte, denn gö-mer mit-ech.
WS28	Dr dörft nit söttigi Chindereie tri[...]be.
WS29	Üsi Bärge si nit grad höch, eui si vi[...]l höcher.
WS30	Wi[...]vi[...]l Pfung Wurscht und wi[...]vi[...]l Brot weit-er ha?
WS31	I vers[ch]toh-nech nit, dir müesst es bitzli lüter rede.
WS32	Heit-er keis Stückli wissi Seife für mi uf mim Tisch g'funge?
WS33	Si Brueder will zwöi schöni neui Hüser i euem Garte baue.
WS34	Das Wort isch em vo Härze cho!
WS36	Was hocke do für Vögeli uf em Mürli obe?
WS37	D'Bure hei feuif Stiere und nün Ch[...]e[...] und zwölf Schöfli vor s'Dorf brocht gah, die hei-sy wölle verchaufe.
WS38	D'Lüt si hüt all[...] uf em Fäld usse und mä[...]ie.
WS39	Gang nume, dr brun Hund macht-er nüd.
WS40	I bi mit de Lüt do hinger übers F[ä]ld i-s-Chorn gfahre.
