---
Bogennummer: '45107'
Ort: Walliswil bei Niederbipp
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: f0b5a1bf-02ba-4aec-a0c1-7b99f54e4a0a
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:57.433048'
...
WS22	Mi muess lut brüele, süsch verschteit är üs nid.
WS23	Mir si müed u hei Durscht.
WS24	Wo mir geschter Zobe zrugg cho si, si di angere scho im Bett gsi u hei fescht gschlofe.
WS25	Der Schnee isch die Nacht blibe liege, aber hüt dä Morge isch er gschmouze.
WS26	Hinger üsem Hus stöh drü schöni Öpfuböimli mit rote Öpfeli.
WS27	Chöit dir nid no nes Ougeblickli uf üs warte, de gö mer mit euch.
WS28	Dir dörft nid söttigi Chindereie tribe.
WS29	Üsi Bärge si nid so höch, die bi euch si vüu höcher.
WS30	Wie mängs Pfung Wurscht u wie viu (viel) Brot weit dir?
WS31	J verstoh euch nid, dir müesst es bitzeli luter rede.
WS32	Heit dir keis Stückli wissi Seife für mi ufem (mim) Tisch gfunge?
WS33	Si Brueder wott für ihn zwöi schöni, neui Hüser i euem Garte boue.
WS34	Das Wort isch ihm vo Härze cho!
WS35	Das isch rächt gsi vo ihne!
WS36	Was für Vögeli hocke da obe ufem Mürli?
WS37	Die Bure hei föif Schtiere u nün Chüe u (zwölf) zwöuf Schöfli vor's Dorf brocht, die hei si wöue verchoufe.
WS38	Die Lüt si hüt aui dusse uf em Fäud u tüe mäije. (mähen)
WS39	Gang nume, der brun Hung macht (tuet) dr nüt.
WS40	J bi mit dene Lüte do hinger über die Matte i z'Chorn gfahre.
