---
Bogennummer: '45108'
Ort: Walliswil bei Wangen
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: f0b5a1bf-02ba-4aec-a0c1-7b99f54e4a0a
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:57.437154'
...
WS6	D's Für het z'starch brunne, d'Chueche si jo ungernoche ganz schwarz brönnt.
WS7	Är isst d'Eier gäng ohni Salz und Pfäffer.
WS8	D'Füess tüe mier so weh, i gloube i heig se düre glüffe.
WS9	J bi bi dr Frou gsi u ha r' es g'seit, u si het g'seit, si well's ou ihrem Meitschi sääge.
WS10	J wott's ou nie meh mache.
WS11	J houe dr eis mit em Cheueli um d'Ohre, du Aff.
WS12	Wo geisch hi, söue mer mit dr cho?
WS13	Es si schlächti Zyte!
WS14	Mis liebe Ching, blib do unge schto, die böse Gäns bysse di süsch tod.
WS15	Du hesch hüt am meiste glehrt u bisch lieb gsi, du chasch [e]nger hei aus die angere 
WS16	Du bisch no nid gross gnue für ne Fläsche Wy us z'trinke, du muesch zersch no chly wachse u grösser wärde.
WS17	Gang, bis so guet u säg dir Schwester, sie söll dr Mueter ihri Chleider fertig näie u mit dr Bürste suber mache.
WS18	Hätsch ne kennt! de wärs angers cho, u es tät besser um ihn sto.
WS19	Wär het mier mi Chorb vou Fleisch g'stohle?
WS20	Är tuet dr gliche, aus hätte si ihn zum Drösche bsch[t]eut, si heis aber säuber g'macht.
WS21	A wäm het er die neui Gschicht erzeut?
WS22	Mi muess lut brüele süsch versteit er üs nid.
WS23	Mir si müed [un] hei Durst.
WS24	Wo mer nächti hei cho si, si die angere scho im Bett gsi un hei fest gschlofe.
WS25	Dr Schnee isch nächti bi üs blibe lige aber am Morge isch er gsch[m]olze
WS26	Hinger em Huus stöh drü schöni Öpfuböimli mit schöne Öpfeli dra.
WS27	Chöit er nid e chli warte, de chönee mer mit nech.
WS28	Dir dörft nid so Chindereie triibe.
WS29	Üsi Bärge si nid so höch, eui si viu höcher.
WS30	Wiviu Pfung Wurscht u wiviu Brot weit er?
WS31	J verstoh nech nid, dir müesst e chli luter rede.
WS32	Heit er ke Bitz wissi Seife für mi uf mim Tisch gfunge?
WS33	Si Brueder wott sich zwöi schöni neui Hüser i euem Garte lo baue.
WS34	Das Wort isch im vo Härze cho.
WS35	Das isch rächt gsi vo ihm.
WS36	Was hocke do für Vögeli do oben uf em Müürli?
WS37	D'Buure hei füüf Munine u nün Chüe u zwöuf Schof vor d's Dorf brocht, die hei si wöue verchoufe.
WS38	D'Lüt si hüt aui duss uf em Fäud u tüe mäie.
WS39	Gang nume, dr bru[ni] Hung tuet der nüt.
WS40	J bi mit dene Lüte do hinger über ds Fäud i ds Chorn g'fahre.
