---
Bogennummer: '45156'
Ort: Pfeffikon
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:55.300097'
...
WS1	Em Wenter flüge die trochne Bletter i dr Loft ome.
WS2	S' hört grad uf schneie, de werd 'sWätter weder besser.
WS3	Due Chole i Ofe ie, dass d' Möuch baud (afad choche) süüt.
WS4	Dä guet alt Ma esch met em Ross durs Iis broche ond is chaut Wasser gfaue.
WS5	Aer isch vor vier oder sächs Woche gstorbe.
WS6	S' Für esch z' starch gsi, d' Chueche send jo unde ganz schwarz aabrönnt.
WS7	Aer esst d' Eier emmer oni Sauz ond Pfäffer.
WS8	D' Füess düemer fescht weh, e gloube e hebsi doregloufe.
WS9	E be be de Frou gsi, ond haneres gseit, ond si hed gseit, si wöus ehrer Dochter ou säge.
WS10	E wells (wotts) aber ou nümme mache !
WS11	E schloder (houder) grad met em Chochlöffu om D' Ohre, du Aff !
WS12	Wo gosch du he sölle mer metr cho ?
WS13	Es send schlächti Ziite !
WS14	Mis liebs Chend, blieb do onde stoh, di böse Gäns biesse di t' tod.
WS15	Du hescht höt am meiste glert ond best artig gsi, du darfscht ener heigo as (weder) di andere.
WS16	Du bescht noni gross gnueg, um e Fläsche Wii usztrinke, du muscht zerscht no wachse ond grösser wärde.
WS17	Gang bes so guet ond säg e diner Schwöster, si söu d' Chleider för eui Mueter fertig näie ond met de Börste botze.
WS18	Hätischt du en könnt ! de wärs anderst use cho ond es tät besser omne (mettem) stoh.
WS19	Wer hed i mer mi Chorb metem Fleisch gstole ?
WS20	Aer het eso do, as hättid se en zom trösche bstöut, se händs aber säuber gmacht.
WS21	Wem het är di nöi Gschecht verzöut ?
WS22	Me mues lut brüele, (schreie) sost verstod är is ned.
WS23	Mer send müed ond händ Dorst.
WS24	Wo mer gester z' Obe heicho send (zrugg cho), send di andere scho em Bett gsi ond händ scho fest gschlofe.
WS25	De Schnee esch di letscht Nacht bi eus lege blebe, aber de Morge ischer gschmouze.
WS26	Hender eusem Huus stönd drü schöni Oepfelbäumli met rote Oepfeli.
WS27	Chönned er ächt ned no en Ougeblickli warte, de gömmer met euch.
WS28	Er dörfed ned setegi Chendereie mache (triebe).
WS29	Eusi Bärge send ned so höch, euri send véu höcher.
WS30	We mängs Pfond Wörst ond we mängs Brot wänder ha ?
WS31	Ech verstonech ned, er müend e chli lüter rede.
WS32	Händer e keis Stöckli wissi Seifi für me of -mem Desch gfunde.
WS33	Si Brüeder wott sech i euem Garte zwöi nöii schöni Hüser boue.
WS34	Das Wort eschem vo Härze cho.
WS35	Das esch rächt gsi vo ehne.
WS36	Was setze da för Vögeli of em Mürli ?
WS37	Die Bure händ föif Ochse ond nün Chüe ond zwöuf Schöfli vor s' Dorf brocht, ond die händ sie wöue verchoufe.
WS38	D' Lüt send höt aui of em Fäud ond düend mäie.
WS39	Gang nur, dä brun Hond machtr (duedr) nüd.
WS40	Ech be met de Lüte do hende öber d' Matte is Chorn gfahre.
