---
Bogennummer: '45173'
Ort: Römerswil
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:55.684785'
...
WS1	Jm Wenndder flühgid di trochne Blätter i de Loft ome.
WS2	Es hört grad uf schneie, de wird 's Wätter wider besser.
WS3	Tue Chole i Ofe n ie, daß d'Melch glih afod choche.
WS4	De guet alt Ma esch mitem Roßdurs Ihs dure broche und isch is chalt Wasser ie gheit.
WS5	Är esch vor vier oder sächs Woche gstorbe.
WS6	's Führ isch z'heiß gsih, d'Kueche send jo ondeföhr ganz schwarz brönnt.
WS7	Är eßt d'Eier emmer [immer?] oni Salz und Pfäffer.
WS8	d'Füeß tüemmer osinnig weh, i glaube, i heig sie dureglaufe.
WS9	J be bi de Frau gsih und han er es gseid und si hed gseid, si wöus nu i erer Tochter säge
WS10	J wott's au [nu ?] nömme mache.
WS11	J hau der grad eis mitem Chochlöffel um d'Ohre, du Aff !
WS12	Wo gosch du he, müemmer medder cho ?
WS13	Äs sind schlächti Zyte.
WS14	Mis liäbs [?] Chind, blib do onde stoh, di böse Gäns bieseddi z'Tod.
WS15	Du hesch hött am meischte glhrt und besch artig gsih, du daffsch glinerheigo weder di andere.
WS16	Du besch noni groß gnueg zum e Fläsche Wie ustrinke, du muesch zerscht no echli wachse und größer wärde
WS17	Gang, biß so guet und säg i diner Schwöschder, si söu d'Kleider für eui Muedder  ferdig näiä ond midde Börschde suuber mache
