---
Bogennummer: '45190'
Ort: Büetigen
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: a65238f7-0190-42c6-88cc-613ac205893f
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:51.147438'
...
WS1	Jm Winter flüge di drochene Bletter i der Luft ume. 
WS2	Es hört gli uf schneie, de wird ds Wätter wider besser. 
WS3	Tue Chole i Ofe, das d'Miuch gli afoht choche.
WS4	Dä guet aut Ma isch mit em Ross uf em Jsch ybroche u isch i ds chaut Wasser gheit. 
WS5	Er isch vor vier oder sächs Wuche gschtorbe. 
WS6	Ds Füür isch z'schtarch gsi, d'Chueche si jo unger ganz schwarz. 
WS7	Er isst d'Eier gäng ohni Sauz u Pfäffer. 
WS8	D'Füess tüe mer hert weh, i gloube, i ha se dürgloffe. 
WS9	J bi bi dr Frou gsi u ha res gseit u si het gseit, si wöus dr Dochter o säge. 
WS10	J wotts ou nümme wieder mache. 
WS11	J houe dr grad mit em Cheueli eis uf d'Ohre, du Aff. 
WS12	Wo geisch hi, söue mer o mit (d)er cho?
WS13	Es si schlächti Zyte. 
WS14	Mys liebe Ching blib do unge stoh, di böse Gäns bisse di süsch t'tod. 
WS15	Du hesch hüt am meischte glehrt u bisch lieb gsi, du chasch ender hei aus di angere. 
WS16	Du bisch no nid gross gnue für ne Fläsche Wy usztrinke (uszsuffe) du muesch zersch no chlei wachse u grösser wärde. 
WS17	Gang, bis so guet u säge der Schwöschter, si söu d'Chleider für öüi Mueter fertig näie u bürschte. 
WS18	Wenn du ne kennt hätsch, wärs angers use cho un es tät besser um ihn stoh. 
WS19	Wär het mer mi Chorb mit em Fleisch gschtole?
WS20	Er het drglyche to, si heigene für z'Drösche bschtöut, si heis aber säuber gmacht. 
WS21	Wäm het di nöii Gschicht erzeut?
WS22	Mi muess brüele, schüsch verschteit er is nid. 
WS23	Mir si müed u hei Durscht. 
WS24	Wo mer geschter z'Obe zrugg cho si, si di angere scho im Bett gsi u hei fescht gschlofe.
WS25	Dr Schnee isch letschti Nacht bi üs blibe lige, aber hüt am Morge isch er vergange. 
WS26	Hinger üsem Hus schtöh drü schöni Oepfuböimli mit roten Oepfeli. 
WS27	Chöit er nid no nes Ougeblickli uf is warte, de chöme mer mit ech.
WS28	Dir dörfet nid so blöds Züüg mache.
WS29	Uesi Bärge si nid grad höch, eui si viu höcher.
WS30	Wi mängs Pfung Wurscht u wi viu Brot weit er?
WS31	J verstoh nech nid, dir müesst e chli luter rede. 
WS32	Heit er kes Bitzli wyssi Seife für mi uf mim Disch gfunge?
WS33	Si Brueder wott i euem Garte zwöi neui schöni Hüser boue. 
WS34	Das Wort isch ihm von Härze cho. 
WS35	Dasch rächt gsi vonech.
WS36	Was hocke do fer Vögeli oben uf em Müürli?
WS37	Bure hei föif Stiere u nün Chüe u zwöuf Schöfli vords Dorf brocht u hei se wöue verchoufe. 
WS38	D'Lüt si aui dusse uf em Fäu u düe mäje. 
WS39	Gang nume, der brun Hung macht der nüt. 
WS40	J bi mit de Lüt do hinge über d'Matte i ds Gwächs gfahre. 
