---
Bogennummer: '45208'
Ort: Rengg
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:55.469614'
...
WS1	Im Winter flüge die trochne Bletter i der Loft ome.
WS2	"Es hört glie uf schneie, de werd des | Wätter [ist das ein ""W""?] wéder besser."
WS3	"Tue Chole i Ofe dass [""ass"" 'd' ist rot durchstrichen] d' Möuch baud afod choche."
WS4	De guet aut Ma isch met dem Ross dörs Jsch broche, ond esch is chalt Wasser g' falle
WS5	Är isch vor vier oder sächs Woche gstorbe.
WS6	"S' hed z' fesch [""z' fescht"" 't' in rot ergänzt] bronne d' Chuche sind ja ondeför ganz verbrönnt."
WS7	Är esst d' Eier emmer oni Salz ond Pfäffer.
WS8	D' Füss dönd mer au weh i gloube i heigsi döre gloufe.
WS9	I' be bi dr Frau gsė ond haneres gseit ond sie hed geseit sie wöus ou ehrer Dochter säge.
WS10	J' wotts au nömme mache.
WS11	"J' schlädi [""schladi"" Trema ist rot durchgestrichen] ganz glich met em Chochlöffu om d' Ohre ome, du Aff."
WS12	Wo he geist do söui ou met dr cho.
WS13	Es sie schlächti Zitte.
WS14	Mis liebs Chind blieb da onde stah, die böse Gänse biesidi sösch z' tod.
WS15	Du hescht hött am meischte g' lehrt ond besch artig g' si, du darfst ender hei ga aus di andere.
WS16	Du bescht no ned gross genug ume fläsche Wie us z' trinke du moescht zerscht no chlie wachse und grösser wärde
WS17	"Gang ["","" rot eingefügt] besch [""bes"" rot 'ch' durchgestrichen] so guet ond säg diner Schwester se söu Kleider för öÿi Muetter fertig büeze ond met der [""dr""  'e' rot durchgestrichen] Börschte suber mache."
WS18	Hätisch du én könnt ! de wärs anderisch cho und es tät besser om én stah.
WS19	Wär hetmer de Chorb met em Fleisch g' stole.
WS20	"Är het so ta wisne zom trösche b' stöle [? - ""b' stöllt"" rot 'lt' ergänzt] hätte, sie heis aber säuber gmacht,"
WS21	Wämm heter die neu Gschecht verzöut.
WS22	"Mer mues lut [ich kann nicht erkennen, was hier rot geändert wurde] brüele ["","" Komma rot eingefügt] sösch versteit är üs ned."
WS23	Mer sie müed und hei Dorscht.
WS24	"Wo mir Nächti hei cho sie [*,"" Komma rot eingefügt] sie [""si"" 'e' rot durchgestrichen] die andere scho em Bett gsi ond hei guet gschlafe [""g' schlafe"" Apostroph rot eingefügt]."
WS25	De Schnee esch die letzt Nacht bi üs blobe, aber höt am Morge ischter weder vergange.
WS26	"Hender üsem Hus stais [?] dröi schöni Öpfel [""="" rot eingefügt] Bäumli met rote Öpflene."
WS27	"Chöneder ned es Ougeblickli of üs warte ["","" rot eingefügt] de göimer met euch."
WS28	Dir dörfid ned settigi Chindereie triebe.
WS29	Üsi Bärge si ned so höch, öÿi send vöu höcher.
WS30	Wivöu Pfond Worst und wieviel Brot weiter.
WS31	Ech verstah euch ned ier mönd es bezeli luter rede.
WS32	Heiter keis Stückli wissi Seife för mech ofem Tesch gfonde.
WS33	Sie Brüeder wot för én 2 schöni Hüser i öÿem Garte boue.
WS34	S' Wort eschem vo Härze cho.
WS35	Das esch rächt gseh vo éne
WS36	"Was hocke da för Vögel [""Vögeli"" 'i' ist rot ergänzt] ofem Mürli obe."
WS37	"D' Bure hei füf Ochse ond nün Chüe und zwölf Schäfli vors Dorf bronge ["","" in rot ergänzt] die weisi verchoufe."
WS38	Die Lüt si hött aui dosse ofem Fäud und mäje.
WS39	"Gang nor ["","" rot eingefügt] der brun Hund machter nüd."
WS40	"J' bi mit de Lüte dahende ["","" rot ergänzt] ober d Matte is Chorn ie g' fahre."
