---
Bogennummer: '45209'
Ort: Holz bei Doppleschwand
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:53.117167'
...
WS12	Wo geisch du he, söue mir metder cho.
WS13	Äs si schlächti Zite.
WS14	Du lie̱bs Chind blieb do onde stah, die böse Gäns tönd ti z' tot biesse.
WS15	Du hesch höt am meischte glehrt ond besch brav gsi, du chaischt ender hei go weder die andere.
WS16	Du besch no ned gross gnueg om ä Fläsche Wi us ztrinke, du muescht no chli wachse ond grösser wärde.
WS17	Gang, besch so guet ond säg diner Schwöster, sie söt d' Kleider för eui Mutter fertig näie̱, ond met de Börschte botze.
WS18	Hät' schne du bchönnt, so wär 's anderischt cho ond es tät besser om ne schta.
WS19	Wär hed mer de Chorb mit em Fleisch gschtole ?
WS20	Är hed e so to wi s' ne zom Drösche bschtöut hätte, sie hei 's aber säuber gmacht.
WS21	I wäm hed är die neu Gschecht verzöut.
WS22	Mer muess lut brüele söscht versteit är eim bed.
WS23	Mer si müed ond hei Dorscht.
WS24	Wo mer geschter Zabe ome (zrogg) cho si do sie die andere scho im Bett gsi ond hei fescht gschlafe.
WS25	De Schnee esch die legscht Nacht bi üs legge blebe, aber höt am Morge esch er vergange.
WS26	Hender a üsem Hus schtai dröi schöni Öpfubäumli met rote Öpfili.
WS27	Chönid ehr ned no es Augebleckli of üs warte de gai mer de met ech.
WS28	Ihr dörfid ned söttigs domms Züg mache.
WS29	Üsi Bärge si ned so höch, oii si vöu höcher.
WS30	Wie mängs Pfond Worscht ond wie vöu Brot weit ehr ?
WS31	Ech verschtanech ned, möit e chli lüter rede.
WS32	Heit ehr keis Stöckli wiessi Seipfi för mech fonde of mim Tesch ?
WS33	Si Büeder wöu för en zwöi schöni nöii Hüser boue i öieem Garte enne.
WS34	Das Wort esch em vom Härze cho.
WS35	Das esch rächt gsi vonne.
WS36	Was hocke do för Vögili of em Mürli obe ?
WS37	Bure hei füf Ochse ond nühn Chüe ond zwöuf Schäfli vor z' Dorf bronge, sie hei si wöue verchaufe.
WS38	Es si höt au Lüt of de Matte osse ond töi mäie.
WS39	Gang ome, de brun Hond machtder nüd !
WS40	Ech be met dene Lüte da hinde öbers Land is Chorn ie gfahre.
