---
Bogennummer: '45240'
Ort: Schupposen
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: f0b5a1bf-02ba-4aec-a0c1-7b99f54e4a0a
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:56.265609'
...
WS1	Jm Winter flüge die trochene Bletter i der Luft ume.
WS2	Es hört gli uf schneie, de wird de ds' Wätter wieder schön.
WS3	Tue Chole-n-i Ofe, dass d' Miuch gli afot choche.
WS4	Der guet aut Ma isch mit em Ross dür ds Jsch broche, u-n-isch ids chalt Wasser gheit.
WS5	Är isch vor vier oder sächs Wuche gschtorbe.
WS6	Ds Füür isch z'starch gsi, d' Chueche si am Bode ganz schwarz.
WS7	Är isst d'Eier immer ohni Sauz u Pfäffer.
WS8	D' Füess tüe mer hert weh, i gloube i heig sie düre glüffe.
WS9	J bie bi der Frou gsi u ha res gseit, sie het gseit, sie wöus ou ihrer Tochter säge.
WS10	J wott's ou nit no einisch mache.
WS11	J schlo der mit em Chochlöffu um d'Ohre, du Aff.
WS12	Wo geisch hi, söu i mit der cho?
WS13	Es si schlächti Zite.
WS14	Mis liebe Ching blib do unger stoh, di böse Gäns b[y]sse di z'tot.
WS15	Du hesch hüt am meischte g' lehrt u bisch artig gsi, du darfsch früecher hei aus die angere.
WS16	Du bisch no nit gross gnue, um e Fläsche Wy z'trinke. Du muesch zerscht no wachse u grösser wärde.
