---
Bogennummer: '45270'
Ort: Vorimholz
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:57.327145'
...
WS25	Dr Schnee isch letschti Nacht bliebe liege, aber hüt am Morge vergange.
WS26	Hinger üsem Hus stöh drei Öpfubäumli mit röte [?] Öpfeli.
WS27	Cheut dr nit no es Augeblickli uf üs warte, de gömer mit ech.
WS28	Dir dorft nit sötige Chindereie tribe.
WS29	Üser [?] Bärge sÿ nit ä [?] so höch, euer sÿ vil höcher.
WS30	Wie mängs Pfung Wurscht u wie vil Brot weit er ha ?
WS31	J verstoh nech [?] nit; dir müeßt lüter rede.
WS32	Heit er e kes Stück wÿßi Seife für mÿ uf mym Tisch gfunge.
WS33	Sy Brüder wot sÿ [?] zweui schöni Hüser im Garte boue.
WS34	Das Wort isch im vo Härze cho.
WS35	Das isch recht gsÿ vone.
WS36	Was hocke do für Vögeli uf em Mürli
WS37	d'Bure hei feuf Stiere, nün Chüe u zwöuf Schöfli vors Dorf brocht, um sa [?] z'verkaufe.
WS38	D'Lüt sÿ hüt au uf em Fäld use u mäe [?].
WS39	Gang num, dr brun Hund macht er nüt.
WS40	J bi dene Lüt da hing über Matte is Chorn gfahre.
