---
Bogennummer: '45271'
Ort: Ammerzwil
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:50.369533'
...
WS1	Jm Winter flüge die trochene Bletter i dr Luft ume.
WS2	Es hört gli uf schneie, de wird d's Wätter wieder besser.
WS3	Tue Chole is Füüröfeli, daß d'Miuch gli chunt.
WS4	D'r guet aut Maa isch mit em Roß im Isch ÿbroche un is Wasser gheit.
WS5	Är isch vor vier oder sächs Wuche gstorbe.
WS6	Dr Ofe isch z'fest gheizt gsi, der Chueche isch am Bode ganz verbrönnt.
WS7	Är ißt d'Eier gäng ohni Salz u Pfäffer.
WS8	D'Füeß tüe mer so weh, i gloube, i heig Blotere.
WS9	J bi bi dr Frou gsi u ha res gseit u si het gseit, si well's o ihrer Tochter säge.
WS10	J wius nümme mache.
WS11	J haue dir gli eis mit em Suppecheue, du Löu !
WS12	Wo geisch du hi, söue mer mit dr cho ?
WS13	Es si schlächte Zite.
WS14	Liebs Ching, blib do unger stoh, süsch bieße di d'Gäns.
WS15	Du hesch hüt am meischte glehrt u bisch brav gsi, du chasch ender hei, aus di angere.
WS16	Du bisch no nit groß gnue, für ne Fläsche Wi usz'trinke, du muesch zersch no wchse u gröser wärde.
WS17	Bis so guet un säg dir Schwöschter, si söll d'Chleider für eui Mueter fertig näie un ghörig bürschte.
