---
Bogennummer: '45277'
Ort: Sempach
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:56.407281'
...
WS2	Es hört grad uf schneie, de werd s'Wätter weder besser.
WS3	G'hei Chole e Ofe iē (iä), daß d'Möuch baud* afod süüde,  *(au; u betont)
WS4	De guet au̱t Ma esch met-dem Roß dors Isch dore g'heit ond es chaut Wasser ie g'floge.
WS5	Är esch vor vier od. sächs Woche g'storbe.
WS6	S'Füür esch z'schtarch g'si, d'Kueche send jo ondeföör ganz verbrönnt.
WS7	Är eßt d'Eier emmer ohni Sau̱z ond Pfäffer.
WS8	"D'Füeß dömmer e so weh, e glou̱be, e ha si [st ?] dore glou̱fe. [senkrechter (Trenn-)Strich zwischen ""dore"" und ""glou̱fe""]"
WS9	Ech be be der Frou gsii [?] ond haneres g'seid ond se hed g'seid, se wöus e ehrer Dochter sääge.
WS10	Ech wöus au weder nömme mache.
WS11	Ech schloone der grad met dem Chochlöffu om d'Ohre, du Aff.
WS12	Wo goscht he ? Söllid mier met der go ?
WS13	Es send schlächti Ziite.
WS14	Mi liebs Chend, bliib do onde stoh, di böse Gänse biiße dech tod.
WS15	"Du hesch höt am meischte g'lehrt ond hescht ordli to, du darfscht früecher hei go als di [""die"" mit durchgestrichenem ""e""] andere."
WS16	Du bescht nonig groß gnue, om e Fläsche Wii [? undeutlich] uusztrinke; du moscht no echli wachse & größer wärde.
WS17	Gang, bes so guet & säg diiner Schwöschter, se sett för euri Mueter d'Chleider fertig mache ond met de Börschte botze.
WS18	Hättisch du en könnt, de wärs andersch cho, ond es dät besser om en stoh.
