---
Bogennummer: '45297'
Ort: Kottwil
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: e0b1b445-00f9-4a41-8a7f-a3ff8b25b72d
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:53.708779'
...
WS1	Im Wenter flüge diē trochne Bletter i de Loft ome.
WS2	Es hört grad uf schnēie, de wird s'Wetter weder besser.
WS3	Due Chole i Ofe, ass Möŭch baŭd afod choche.
WS4	De guet alt Maa isch mit de Rosse durs Isch ibroche, ond is chalt Wasser gfalle.
WS5	Er esch vor viēr oder sächs Woche gstorbe.
WS6	S'Füür isch zstarch gsi, d 'Chüeche sind jo onde ganz schwarz brönnt.
WS7	Ar esst d'Eier ėmmer ohni Saŭz ond Pfäffer.
WS8	D'Füess düend mer so weh, i gloŭbe, i ha si doreglaufe.
WS9	I bē bi de Frou gsi, ond ha ne res gseid, ond si hed gseid, si wöŭ es au ehre Tochter säge.
WS10	I wots au nüm̄e me mache.
WS11	I schlodi grad met dem Löffu um d'Ohre, du Aff.
WS12	Wo goscht du hee, söŭit mer met der cho?
WS13	Es sei schlächti Zythe.
WS14	Mis liēb Chind, blieb do onde stoh, diē böse Gäns biesse di tot.
WS15	Du hesch höt am meischde glehrt, ond bisch artig gsi, du darfsch ender hei, aŭs die andere.
WS16	Du besch no ned gross gnŭeg, om e Fläsche Wii ŭsztrinke, du muescht erscht noe chli wachse ond grösser wärde.
