---
Bogennummer: '45310'
Ort: Mistelberg
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:54.428771'
...
WS27	Chöit der nid no nes Ougeblickli uf is qarte, de göh mer mit eu[c ?]h [?].
WS28	Dir törfet nid settigi Tummheite trÿbe.
WS29	Üser Bärge sÿ nid grad höch, eui sÿ viu höcher.
WS30	Wie mänge Ring Wurscht u wie mängs Brot weiter ?
WS31	J verstah nech nid, dir müeßit e chli luter rede.
WS32	Heiter keis [B ?]itzli wÿßi Seife für mi uf mÿm Tisch gfunge ?
WS33	Sÿ Brueder wott sÿ zwöi schöni neui Hüser i euem Garte boue.
WS34	Das Wort isch im vo Härze cho !
WS35	Das isch rächt gsÿ vonne [?] !
WS36	Was hocke da für Vögeli uf dem Müürli obe ?
WS37	Die Pure hei feuf Ochse u nüün Chüeh u zwöuf Schöfli uf e Märit prunge [darüber ergänzt:] procht, si hei se wöue verchoufe.
WS38	D'Lüt sÿ hüt aui uf em Fạ̈ụd usse u mäje.
WS39	Gang nume, der bruun Hung machter nüt.
WS40	J bi mit de Lüt dahinger über d'Matte i ds Chorn gfahre.
