---
Bogennummer: '45311'
Ort: Wynigen
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: f0b5a1bf-02ba-4aec-a0c1-7b99f54e4a0a
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:57.921168'
...
WS1	Jm Winter flüge die trochene Bletter i der Luft desume.
WS2	Es hört grad uf schneie, de wird s'Wätter wieder besser.
WS3	Tue Chole i Ofe, dass d Milch bau afot choche.
WS4	Der guet aut Ma isch mit em Ross dürs Ysch broche und is chalte Wasser g heit.
WS5	Är isch vor vier oder sächs Wuche g storbe.
WS6	Ds Füür isch schtrach gsi, die Chueche si ungernoche ganz schwarz brönnt.
WS7	Är isst d Eier gäng ohni Sauz un Pfäffer.
WS8	D Füess tüemer hert weh, i gloub i heig se düreglüffe.
WS9	Yg bi bi der Frou gsi un har-res gseit un si heit gseit, si wöus ihrer Tochter säge.
WS10	Yg wott s ou nümme mache.
WS11	Yg schlo der grad mitem Chochlöffū um d Ohre, du Aff!
WS12	Wo geisch hi, söue mer mit der cho?
WS13	Äs si schlächt Zyte.
WS14	Mys liebe Ching, blib do unger stoh, die böse Gäns bisse di z tod.
WS15	Du hesch hüt am meischte gleert, du bisch brav gsi, du darfsch ender hei aus die angere.
WS16	Du bisch no nid gross gnue für ne Fläsche Wy usztreiche , du muesch zersch no wachse u grösser wärde.
WS17	Gang, bisch so guet un säg dir Schwester si söu die Chleider für eui Muetter fertig näie un mit der Bürschte suber mache.
WS18	Hättisch du ne gkennt, de wäres angersch cho un es tät besser um ihn stoh.
WS19	Wär het mer mi Chorb mit Fleisch gstohle?
WS20	Är het eso to wie wenn se ne zum Trösche bschtellt hätte, aber si heis säuber gmacht.
WS21	Wäm het är die neue Gschicht erzeut?
WS22	Mi mues lut brüele süsch versteit är is nid.
WS23	Mir si müed un hei Durscht.
WS24	Wo mer nächti zrügg cho si, si di angere scho im Bett gsi un hei fescht gschlofe.
WS25	Der Schnee isch letschti Nacht binis blibe liege, aber hüt de morge isch är vergange.
WS26	Hinger üsem Hus schtöh drü schöni Öpfuböimli mit rotne Öpfeli.
WS27	Ch[ö]it er nid no nes Ougeblickli uf is warte, mir göh de mit nech.
WS28	Dir dörfet nid söttegi Chingereie tribe.
WS29	Üsi Bärge si nid grad höch, eui si viel höcher.
WS30	Wie mängs Pfung Wurscht un wieviel Brot weiter ha?
WS31	Yg verstoh nech nid dir müesst e chli luter rede.
WS32	Heiter keis Bitzli wyssi Seife für mi uf mim Tisch gfunge?
WS33	Si Brueder wott sich zwöi schöni neue Hüser i öiem Garte boue.
WS34	Das Wort isch ihm vo Härze cho.
WS35	Da-sch-rächt gsi vo ne.
WS36	Was hocke do für Vögeli obe uf däm Müürli.
WS37	Die Buure hei föif Stiere un nün Chüe un zwöuf Schöfli vor sDorf brocht, die hei se wöue verschoufe.
WS38	d Lüt si hüt aui duss uf em Fäud un m[ä]je.
WS39	Gang ume, dä brun Hung macht dir nüd.
WS40	Yg bi mit de ne Lüt do hinger über d Matte is Chorn gfahre.
