---
Bogennummer: '45331'
Ort: Aetingen
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:50.200661'
...
WS1	Im Winter flüge die trochene Bletter i der Luft ume.
WS2	Es hört jetz de grad uf schneie, de wird s' Wätter wider besser
WS3	Tue Chole i Ofe, dass d' Miuch bau afot choche.
WS5	Er isch vor vier oder sächs Wuche g' storbe
WS6	S' Füür isch z' starch gsi, d' Chueche si jo ungernache ganz schwarz
WS7	Er isst d' Eier gäng ohni Sauz u. Pfeffer
WS8	D' Füess tüe mer so weh, i gloube, i heig se düre glüffe
WS9	I bi bi der Frou gsi und haneres gseit, und si het gseit, sie wöus ihrer Tochter ou säge.
WS10	I wott's ou nümme tue !
WS11	I schloh der grad mit em Chochlöffu um d' Ohre, du Aff !
WS12	Wo geisch du hi, soue mer mit der cho ?
WS13	Es si schlächti Zite !
WS14	Liebs Ching, blib do unger stoh, die böse Gens biisse di z' tot.
WS15	Du hesch hüt am meischte glehrt und bisch brav gsi, du darfsch früecher hei aus di angere.
