---
Bogennummer: '45338'
Ort: Recherswil
Gid: 20475
Transliterationsprojekt: Citizen Science Projekt
Original Anmerkungen: "Unter Satz 40 notiert der Lehrer: \n\"( ë = nach ä gefärbtes\
  \  e .)\""
Erstelldatum: 2024-02-29 16:26:27.291007
Änderungsdatum: 2024-03-12 17:12:48.369351
Satzversion: 1
...
WS1	Jm Winter flüge dië düre Bletter i der Luft ume.
WS2	Es hört grad uf schneië, de wird s' Wätter wieder besser.
WS3	Leg Chohle 'n a, ass d' Miuch gly chunnt.
WS4	Dä guet aut Ma isch mit em Ross dur 's Jsch i broche und i das chaute Wasser g'faue.
WS5	Er isch vor viër oder sächs Wuche g'schtorbe.
WS6	S' Für isch z' schtarch gsy, dië Chueche sy jo ganz verbrönnt.
WS7	Er isst d' Eier gäng ohni Sauz und Pfäffer.
WS8	"D' Füess tüe mer weh, i gloube i sig dur g'loffe. {zunächst ""durg'loffe"", dann mit dünnem senkrechten Strich zwischen 'r' und 'g' getrennt} ."
WS9	J by bi der Frau gsy und han 'eres gseit und sy het g'seit, sy weu 's ou ihrer Tochter säge.
WS10	J wiu's ou nümme tue.
WS11	J schlo d'r grad d'r Chochlöffu um d' Ohre, du Aff.
WS12	Wo geisch du hi, seue mer {zunächst 'seuemer', dann mit senkrechtem Strich zwischen 2.'e' und 'm' getrennt} mit d'r cho.
WS13	Es sy schlächti Zyte.
WS14	Liebs Chind, blyb do nide stoh, dië böse Gens bysse di süsch z' tot.
WS15	Du hesch hüt am meischte g'lehrt und bisch artig g'sy, du darfsch früecher hei as dië angere.
WS16	Du bisch no nid gross g'nue, für ne fläsche Wy us 'z' trinke, du muesch z'ersch no öppis wachse und grösser wärde. 
WS17	Bisch so guet und säg dir Schweschter, sy seu dië Chleider für eui Mueter fertig mache und mit {sic!} Bürschte putze.
WS18	Hätsch't du ne könnt, de wärs angerisch cho, und es schtieng besser um ihn.
WS19	Wär het mir mi Chorb mit Fleisch g'schtohle.
WS20	Er het to, wie wenn sy ihn zum Drösche b'schteut gha häde, aber sy hei 's säuber g'macht.
WS21	Wäm het er dië neuy G'schicht erzeut ?
WS22	My mues lut brüele, süsch verschteit er eim nit !
WS23	Myr sy müed und hei durscht.
WS24	Wo mer geschter z' Obe z'rugg cho sy, sy {zunächst wohl 'si', dann 'i' zu 'y' ergänzt: i-Punkt ist sichtbar} dië angere scho im Bett g'sy und hei fescht g'schlofe.
WS25	D'r Schnee isch dië Nacht blibe, aber dä {zunächst noch ein Anhängsel an 'ä' ?} Morge isch er g'schmolze. <(vergange.)>
WS26	Hinger üsem Hus schtö drü schöni Öpfuböimli mit rote Öpfeli.
WS27	Cheut d'r nit no e'n Ougeblick uf y's warte, de chöme mer mit ech.
WS28	Dyr dörfet nit settig Chindereie tribe.
WS29	Üsy Bärge sy nit sehr {zunächst 'sy sehr'. dann oben 'nit' im Wortzwischenraum geschrieben und mit einer Verbindungslinie eingefügt} höch, eui sy viu höcher.
WS30	Wië mängs Pfung Wurscht und wiëviu {zunächst 'wiëviele', dann 'el' zu 'u' gemacht und Schluss-'e' durchgestrichen - vgl. 'viu' in Satz 29!} Brot weit er ?
WS31	J verstoh 'n ech nit, dir müesst {rumkorrigiert} es bitzeli lüter rede.
WS32	Heit er keis Stückli wissi Seife fer mi uf mim Tisch g'funge.
WS33	Si Brueder wott zwöi schöni neui Hüser i euem Garte boue {am 'o' rumkorrigiert}.
WS34	Das Wort isch em vo Härze cho !
WS35	Das isch rächt gsy {zunächst 'Das isch gsy', dann oben 'rächt' im Wortzwischenraum geschrieben und mit einer Verbindungslinie eingefügt} von ech ! 
WS36	Was hocke do für Vögeli uf däm Mürli ?
WS37	Dië Bure hei füif Ochse und nün Chüë und zwöuf Schöfli vor's Dorf brocht g'ha, dië hei si weue verchaufe.
WS38	Dië Lüt sy hüt aui uf em Fäud usse und mäie.
WS39	Gang ume, dä brun Hung tuet d'r nüt.
WS40	J bi mit dene Lüte do hinge über d' Matte is Chorn g'fahre.
