---
Bogennummer: '45388'
Ort: Dussnang
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:51.555430'
...
WS14	Mis liebs Chind, blieb do unde stoh, di böse Gäns biesset di sust tod.
WS15	Du häst hüt am meiste g'lehrt, und bist brav g'si, und darfst früöner hei, as di andere.
WS16	Du bist no nöd gross gnuog, um e Fläsche Wi usz'trinke, du muoscht z'erscht no chli wachse und grösser wärde.
WS17	Gang, bis so guot und säg diner Schwöster, si söll s'Gwand für üri Muotter fertig naie (büöze) und mit d'r Bürste suber mache.
WS18	Hettest 'n kännt, dänn wärs anderscht cho, und es wür besser um 'n stoh.
WS19	Wer hät m'r min Chorb mit Fleisch g'stole ?
WS20	Er hät e so tuo, als hettets'n zum Trösche b'stellt; si händs aber sälber tuo.
WS21	Wem hät 'r di neu G'schicht verzellt ?
WS22	We [weshalb 'We' und nicht 'Me' ?] muoss lut rüöfe, suscht verstoht er üs nüd.
WS23	Mir sind müöd und händ Durscht.
WS24	Wo m'r nächt hei cho sind, do sind di andere scho im Bett g'läge und sind fest am Schlofe g'si.
WS25	D'r Schnee ischt die Nacht lige blibe, aber hüt morge ischt er vergange.
WS26	Hinder üsem Hus stönd 3 schöni Oepfelbömli mit rote Oepfeli.
WS27	Chönd 'r nöd no e Wili (Bitzeli) uf üs warte, dänn chömm' r mit Eu.
WS28	Ihr dörfet nöd derigi Chindereie mache.
WS29	Uesi Bärg sind nöd so höch, euri sind viel höcher.
WS30	Wie mängs Pfund Würst und wieviel Brot wön d'r ?
WS31	I verstohni nöd, ihr müönd e chli (es Bitzeli) lüter rede.
WS32	Händ'r keis Stückli wissi Seipfe für mi uf mim Tisch g'funde ?
WS33	Si Brüöder will 2 schöni neui Hüser i euem Garte baue.
WS34	Das Wort isch 'm us 'm Härze cho.
WS35	Das ischt rächt g'si vo Ihne.
WS36	Was sitzet do für Vögeli uf 'm Mürli ?
WS37	d'Bure händ 5 Stiere, 9 Chüö und 12 Schöfli vors Dorf brocht, die wönd's verchaufe.
WS38	d'Lüt sind hüt alli uf 'm Fäld und tüönd meie.
WS39	Gang nu, d'r bru Hund macht d'r nüt.
WS40	I bi mit de Lüte dohine über d'Wiese is Chorn g'fahre.
