---
Bogennummer: '45441'
Ort: Bisikon
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:50.827927'
...
WS20	Er hät eso to wie wenns-en zum Tröschen-a'gstellt hettid, sie hends (e = off a) aber selber to (gmacht)
WS21	Wem hät-er die neu Gschicht verzellt ?
WS22	Me mues lut rüefe, suscht verstoht er is nüd (ü fast off. ö)
WS23	Mer sind müed und hend (e off a) Durscht.
WS24	Wo-mer geschter z^'Obig z'rugg cho sind, do sind di andere scho im Bett glege (e = off a) und hend fescht g'schlofe.
WS25	De Schnee ischt nächt bi eus liggi blibe (i kurz), aber hüt-de Morge-n-ischt er vergange.
WS26	Hinder euserem Hus stönd drü schöni Öpfelbäumli mit rote-n-Öpfeli.
WS27	Chönntid-er nüd no en-Augeblickli uf-is warte, denn gömmer mit-i.
WS28	Ihr törfed (ö off.) kä (ä = off a) dere Chindereie tribe.
WS29	Euseri (eu = öi) Bärg sind nüd eso höch, eueri sind vill höcher.
WS30	Wie mängs Pfund Wurscht und wie vill Brot wänd-er ?
WS31	I verstohn-i-nüd, ihr müend echli luter rede.
WS32	Hend-er e kä Stückli wissi Seupfe (eu = off. öi) für mich uf mim Tisch gfunde ?
WS33	Sin Brüeder wott zwei schöni neui Hüser boue in euerem Garte.
WS34	Das Wort ischt em vo Herze cho.
WS35	Das ischt recht gsi von-e-ne.
WS36	Was für Vogeli sitzed da ufdem Mürli obe ?
WS37	D'Bure händ feuf Stiere und nün Chüe und zwölf Schöfli vors Dorf bracht, sie händs welle verchaufe.
WS38	D'Lüt sind hüt alli uf-em Feld usse und mähed.
WS39	Gang nu, de bru Hund macht-der (tuet-der) nüt.
WS40	Ich bi mit de Lüte da hinne über die Wise is Chorn gfahre.
