---
Bogennummer: '45443'
Ort: Horben bei Illnau
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:53.156070'
...
WS1	Im Winter flüged di trochne Bletter i de Luft ume.
WS2	Es hört gli uf schnëie, dänn wird s'Wätter wider besser.
WS3	Tue Chole in Ofe, daß d'Milch bald afangt choche.
WS4	"Dä [oder ""Dà"" mit einem anderen Akzent?] guet alt Ma ischt mit dem Roß dur's Is proche und is chalt Wasser g'fale."
WS5	Er sich vor vier oder sächs Wuche g'schtorbe.
WS6	S'Füür isch z'schtarch gsi, Kueche sind ja une ganz aaprännt.
WS7	"Er ißt d'Eier imer ohni Salz und Pfäffer [oder ""Pfàffer"" mit einem anderen Akzent?]."
WS8	Pfüeß tüe mer eländ weh, ich glaube, ich has dure gloffe.
WS9	Ich bi bi de Frau gsi und haner es gseit, & sie hät gseit, sie wells au irer Tochter säge.
WS10	Ich wills au nüme tue.
WS11	Ich Schla der grad de Chochlöffel um d'Ohre, du Aff !
WS12	Wo gahscht hi, sölled mer mit'er cho ?
WS13	Es sind schlächti Ziite.
WS14	Liebs Chind, blib da une  staa, die böse Gäns bießed di tod.
WS15	"Du häscht hüt [oder ""hùt"" mit einem anderen Akzent?] am meischte g'lehrt und bischt artig gsi, du dörfscht [unter 'ö' ergänzt ""off""] früener hei als die andere."
WS16	Du bischt nonig groß gnueg, um e Fläsche Wi usz'trinke, du muescht z'erscht na e chli wachse & großer werde
WS17	Bis so guet gang säg dire Schwöschter, sie sell Kleider für euri Mueter fertig näe & mit'er Bürschte suber mache.
WS18	"Hettischt in nu kännt, dänn wärs andersch cho und es tät [oder ""tàt"" mit anderem Akzent?] besser um en staa."
WS19	Wer hät mer min Chorb mit Fleisch g'schtole ?
WS20	"Er hät [oder ""hàt"" mit anderem Akzent?] ta, als hettet's ēn [oder ""én"" mit durchgestrichenem Akzent?] zum trösche bschtellt, sie hands aber sàlber ta."
WS21	"Wäm hät [oder ""hàt""?] er di neu Gschicht verzellt ?"
WS22	Me mues lut heepe, suscht verschtaat er eus nöd.
WS23	Mer sind müed und händ Turscht.
WS24	Wo mor geschtert z'abig zrugg cho sind so sind die andere scho im Bett gsi & händ fescht gschlaafe.
WS25	De Schnee isch die Nacht bi eus lige plibe, aber hütemorge isch er gschmolze.
WS26	Hinder eusem Huus schtönd schtönd drëi schöni Öpfelbaemli mit rote
WS27	Chönd er nöd no enAugeblickli uf is warte, dänn chömed mer mit eu.
WS28	"Ihr törfed nöd [unter beiden 'ö' jeweils ergänzt ""off""] e senigi Chinderëie triibe."
WS29	"Euseri Berge sind nöd so höch [oder ""hòch""?]. eueri sind vill höcher [oder ""hòcher""]."
WS30	Wievill Pfund Wurscht und wievill Brot wänd er ha ?
WS31	Ich verschta eu nöd, ir müend e bitzeli lüter rede.
WS32	Händ er käs Stückli wißi Seupfe für mich uf mim Waschtisch gfunde ?
WS33	"Sin Brüeder well sich zwei schöni, neui Hüsli [oder ""Hùsli""?] i euem Garte boue."
WS34	Das Wort isch em vo Herze cho.
WS35	"Das isch rächt [oder ""ràcht""?] gsi von em."
WS36	Was sitzed da für Vögeli uf em Mürli obe ?
WS37	Puure händ feuf Ochse & nün Chüe & zwölf Schöfli vor's Dorf pracht, die händs welle verchaufe.
WS38	"D'Lüt [oder ""Lùt""?] sind hüt [""hùt""?] uf em Feld usse & mäed [màed""?]."
WS39	"Gang nu, de brun Hund tuet'er nüt [nùt""?]."
WS40	"Ich bi mit dene Lüt [""Lùt""?] dahine über d'Wise is Chorn gfaare."
