---
Bogennummer: '45446'
Ort: Sennhof bei Russikon
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:56.413368'
...
WS28	Mached nüd denig Dummhȩite.
WS29	Eusi Bärg sind nüd gar e so höch, euer sind viel höcher.
WS30	Wie mängs Pfund Wurscht und wie mängs [? Wort fehlt] wänd er?
WS31	Ich verstohn i nüd, ir müend e bitzeli lüter rede.
WS32	Händ er nüd uf mim Tisch es Stückli wīssi Söipfe für mich gfunde.
WS33	Sin Brüeder wott für sich zwei schöni neui Hüser boue in euerem Garte-n-ine.
WS34	Das Wort isch em vo Härze cho.
WS35	Das ischt rächt gsi von-ene.
WS36	Was hocked au do für Vögeli uf em Mürli obe ?
WS37	D'Bure händ föif Stiere und nün Chüe und zwölf Schöfli, wo s'händ welle verchaufe, vor 's Dorf use brocht.
WS38	's sind hüt all Lǖt uf em Fäld usse und mäed.
WS39	Gang nu, de brū Hund macht der nüt.
WS40	I bi mit dene Lüte do hine über d'Wies is Chorn gfahre. (i d'Frucht)
