---
Bogennummer: '45448'
Ort: Gündisau
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:52.610649'
...
WS1	Im Winter flüge die trochne Blätter i der Luft ume.
WS2	Es hört grad uf schneie, s'Weter wird dänn scho wieder besser.
WS3	Tue Chole in Herd, dass d'Milch bald süd.
WS4	De guet alt Ma isch mit em Ross durs Is broche und is chalt Wasser gfalle.
WS5	Er isch vor 4 oder 6 Woche gstorbe.
WS6	Es isch z'heiss gsi, de Chueche isch ja une ganz schwarz.
WS7	Er isst d'Eier immer ohni Salz und Pfeffer.
WS8	D'Fuess tüend mer heillos weh, i glaub i bi wund.
WS9	I bi bi der Frau gsi und han er es gseit, und sie hät gsait, sie wells der Tochter au säge.
WS10	I wills nüme wieder tue.
WS11	"I schla der de Chochläffel um d'Ohre [oder ""um di Ohre""?], du Aff !"
WS12	Wo gasch hi, söllet mer mit cho ?
WS13	Es sind schlechti Zite.
WS14	Liebs Chind, blib unde stah, di böse Gäns bisse dich susch z'tod.
WS15	Du häsch hüt am meischte glehrt, und bisch au brav gsi, drum dörfscht früener hei als die andere.
WS16	D bisch noni gross gnue, um e Fläsche Wi usz'trinke, du muesch z'erst na wachse.
WS17	Gang, bis so guet und säg diner Schwöschter, sie söll d'Kleider für Euri Mueter fertig näe und bürste.
WS18	Hätsch en nu chännt, s'wär anderst cho, es ständ au besser um'en.
WS19	Wer hät mer min Fleischchorb gstohle ?
WS20	Er hät dergliche ta, mer häb ihn zum Drösche agstellt, si händs aber sälber gmacht.
WS21	Wem hät er die neu Gschicht verzällt ?
WS22	"Me mues lut brüele, suscht verstaht er üs nöd [oder ""nüd""?]."
WS23	Mer sind müed und händ Durst.
WS24	Wo mer geschter hei cho sind, sind die andere scho im Bett gsi und händ fescht g'schlafe.
WS25	De Schnee isch d'Nacht über liege bliebe, aber am Morge isch er gschmolze.
WS26	Hinder euserem Hus stönd schöni Öpfelbäumli mit roten Öpfle.
WS27	Chönt er nid no e weneli warte, dänn gön mer miti.
WS28	Machet nid de Löli.
WS29	Euseri Berg sind nid grad höch, euri sind höcher.
WS30	Wie mängs Pfund Wurscht und wieviel Brot wänd er ?
WS31	I verstahn eu nid, ihr müend luter rede.
WS32	Händ ihr nid e bizeli wissi Seife für mich uf em Tisch gfunde ?
WS33	Sin Brüder wot zwöi schöni neui Hüser i eurem Garte baue.
WS34	Das isch em vo Herze cho !
WS35	Das isch nett vo ihne.
WS36	Was sitzed da für Vögeli oben uf em Mürli ?
WS37	D'Büre händ feuìf Stiere, nün Chüe und zwölf Schöfli vors Dorf bracht, die händs welle verchaufe.
WS38	D'Lüt sind hüt all uf em Acher und mäet.
WS39	Gang nu, de brun Hund tuet der nüd.
WS40	I bi mit de Lüte det hinde über d Wiese is Chorn g'fare.
