---
Bogennummer: '45454'
Ort: Wallikon
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:57.423423'
...
WS1	Im Winter flüged die trochne Blätter i dr Luft ume.
WS2	Es hört gli uf schneie, dann wird s'Wätter besser.
WS3	Tue Kohle i dr Ofe, daß d'Milch bald z'choche afangt.
WS4	Dä guet alt Ma isch mit em Ross durs Is broche und is chalt Wasser gfalle.
WS5	Er ischt vor vier oder sächs Wuche gstorbe.
WS6	S'Für isch z'starch, die Chueche sind ganz verbrännt.
WS7	Er isst d'Eier immer ohni Salz und Pfäffer.
WS8	D'Füess tü mer schüli weh, i glaube i han si duregloffe !!
WS9	I bin bi de Frau gsi und häneres gsait, si het gsait, si wellis dr Tochter au säge.
WS10	I wott's nüme tue.
WS11	I schlo dr grad eis mit em Chelle um d'Ohre ume, du Aff.
WS12	Wo gohsch du hi, sölled mer mit dr cho
WS13	Es sind schlächti Zite.
