---
Bogennummer: '45485'
Ort: Oberhelfenschwil
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 68c3f30a-7b36-46df-a775-239419b23262
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:54.969531'
...
WS1	Im Winter flüget die tochne Bletter i de Luft umä.
WS2	S'hört gad uf schneie, denn wird s'Wetter wieder besser.
WS4	De guet alt Ma ist mit em Ross dürs Is broche und is chalt Wasser g'falle.
WS5	Er ist vor vier oder sechs Wuche g'storbe.
WS7	Er isst d'Eier allewil ohni Salz und Pfeffer.
WS8	D'Füess tünd mir sumässig weh, i glaub, i has dür g'laufe.
WS9	I bi bi de Frau gsi und han er es gsait, und si het gsait, si wölls au ihre Töchter säge.
WS10	I wills nüme tue.
WS11	I schlo der de Chochlöffel um d'Ohre ume, du Aff!
WS12	Wo gohst hi, sölle mer miter cho?
WS13	Das sind schlecht Zite.
WS14	Liebs Chind, blib do une stoh, di böse Gäns bisset di sös tot.
WS15	Du hest hüt am meiste glernt und bist xxx brav gsi, du darst früener hei as die andere.
WS16	Du bist no nüd gross gnueg, zum e Fläsche Wi ustrinke, du muescht noch wachse und grösser werde.
WS17	Gang, bis so guet und säg dire Schwöster, sie söll Kleider für euri Muetter fertig näie und mit de Bürste suber mache.
WS18	Hettest du ihn kennt!
WS19	Wer het min Chorb mit em Fleisch g'stole?
WS20	Er hät tue, as wenn s'ne zum Dresche b'stellt hettet, sie händs aber selber gmacht.
WS21	Wem het er die neu Gschicht verzellt?
WS22	Me muess lut brüele, sös verstot er nis nöd.
WS23	Mir sind müed und händ Turst.
WS24	Wo mer gester obet zruckcho sind, do sind die andere schon im Bett gsi und händ fest g'schlofe.
WS25	De Schnee ist die Nacht bi üs ligge blibe, aber hüt morge ischt er g'schmolze.
WS26	Hinder üserem Hus stönd drei schöni Öpfelbäumli mit rote Öpfeli.
WS27	Chönd er nüd no e Augeblickli uf nis warte, denn gömer mit ni.
WS28	Ihr töret nüd derigi Kindereie tribe.
WS29	Üseri Berg sind nüd gär so höch, euri sind viel höcher.
WS30	Wievill Pfund Wörst und wieviel Brot müend ihr ha?
WS31	Ich verstoh ni nöd, ihr müend e chli luter rede.
WS32	Händ ihr kei Stückli wissi Seiphe für mi uf mim Tisch gfunde?
WS33	Sin Brüeder will sich zwei schöni neui Hüser i euerm Garte baue.
WS34	Das Wort ist em vo Herze cho!
WS36	Was sitzet do för Vögeli uf em Mürli?
WS37	D!Bure händ föf Ochse und nü Chüe und zwölf Schöfli vors Dorf brocht, si händs wölle verchaufe.
WS38	D'Lüt sind hüt alle dusse uf em Feld und mäiet .
WS39	Gang nu, de bru Hund tuet der nüt.
WS40	I bi mit de Lüte do hine über d'Wise is Chorn gfahre.
