---
Bogennummer: '45523'
Ort: Horgen
Sprache: ''
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz Excel Import
Transliterent: ''
Anmerkungen: ''
Erstelldatum: '2024-04-15 09:49:51.872285'
...
WS1	Im Winter flüged die dürre Bletter i de Luft umme.
WS2	Es hört gli uf schneye, dänn wird s'Wätter wider besser.
WS3	Tue Chole in Ofe, dass d'Milch gli zchoche afad.
WS4	De guet alt Maa ischt mitem Ross durs iis broche und is chalt Wasser gheit.
WS5	Er ischt vor vier oder sächs Wuche gstorbe.
WS6	S'Füür ischt zstarch gsi, d'Wähe sind unne ganz schwarz verbrännt gsi.
WS7	Er isst d'Eier immer ohni Salz und Pfeffer.
WS8	D'Pfüess tüe-mer weh, i glaube, i hän Blätz ab.
WS9	I bi bider Frau gsiund hän er-es gseid; si häd gseit, si wells au ire Tochter säge.
WS10	I wotts au nümme tue.
WS11	I hau der grad d'Chelle um d'Ohre, du Aff.
WS12	Wo gascht au anne, sölled mer mit dir cho.
WS13	Es sind schlächti Ziite.
WS14	Mis liebs Chind, blib da unne stah, die böse Gäns biissed di ztod.
WS15	Du häscht am meischte glehrt und bischt artig gsi, du dörfscht früener hei as die andere.
WS16	Du bischt nonig gross gnueg zu e Fläsche Wii ustrinke, du muescht no e bitzeli wachse und grösser werde.
WS17	Bis so guet und säg diner Schwöster, si söll s'Gwand für euri Mueter fertig büeze unds suber bürschte.
WS18	Hetsch en kännt, dänn wärs anderscht cho, und s'schtient besser um en.
WS19	Wär häd mer min Chorb mit em Fleisch gstolle.
WS20	Er häd so ta, as hetteds en zum Trösche bschtellt, si händs aber sälber ta.
WS21	Wem häd er die neui Gschicht verzellt?
WS22	Mer mues luut rüefe, suscht verschtaad er eus nüd.
WS23	Mer sind müed und händ Turscht.
WS24	Wo mer geschtert z'Abig zrugg cho sind, do sind die andere scho im Bett gsi und händ fescht gschlaafe.
WS25	De Schnee ischt die Nacht bi eus ligge blibe, aber hüt e Morge ischt er gschmulze.
WS26	Hinderem Huus schtönd drü schöni Oepfelbäumli mit rote n Oepfeli.
WS27	Chönd er nüd es Bitzeli uf eus warte, mer gönd dän au mit i.
WS28	Tüend doch nüd so chindelig.
WS29	Eusi Bärg sind nüd gar höch, eui sind vill höcher.
WS30	Wievill Pfund Würscht und wievill Brot müend er ha?
WS31	I verschtahn i nüd, ir müend e bitzeli luuter rede.
WS32	Händ er keis Schtückli Seupfe für mich uf em Tisch gfunde?
WS33	Sin Brüeder wott für sich zwei schöni neui Hüüser i euerem Garte boue.
WS34	Das Wort isch em vo Härze cho.
WS35	Das ischt rächt vonene gsi.
WS36	Was sitzed da für Vögeli do uf dem Müürli?
WS37	D'Buure händ föif Ochse und nün Chüe vors Dorf bracht, die händs welle verchaufe.
WS38	D'Lüt sind hüt alli uf em Fäld und määed.
WS39	Gang nu, dä brun Hund tuet der nüüt.
WS40	I bi mit de Lüte da hinne über d'Wise is Chorn gfahre.
