---
Bogennummer: '45539'
Ort: Grüt
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: fb569862-e47a-4b32-8dc5-5410ffb98e13
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:52.575813'
...
WS1	Im Winter flüged die trochne Bletter i der Luft ume.
WS2	Es hört grad uf zscheie, dänn bessered s'Wätter wider.
WS3	Leg Schytli under, daſ d'Milch gly chunnt.
WS4	Dä guet alt Ma isch mit em Roſ durs Is broche und is chalt Wasser ine gfalle.
WS5	Er isch vor vier oder sächs Wuche gschtorbe.
WS6	D'Hitz ischt z'groſs gsi, die Chueche sind am Bode ganz verbrännt.
WS7	Er iſst d'Eier immmer ohni Salz und Pfäffer
WS8	D'Füeſs tüend mer schüli weh; i glaube i ha Blattere am ferse.
WS9	I bi bi dere Frau gsy und hän er es gseit und sy hätt gseit, si wells au ihrer Tochter säge.
WS10	I wills gwüſs nümme mache.
WS11	I hau der grad d'Chelle um d'Ohre, du Aff!
WS12	Wohi goscht, törfed mer mit der cho?
WS13	Das sind schlächti Zyte!
WS14	Liebs Chind, blyb do unne schtoh, die böse Gäns byssed di z'tod.
WS15	Du häsch hüt am meischte glehrt und bischt artig gsi; du törfscht früenen heigah als die andere.
WS16	Du bisch no zchly zum ä fläsche Wy usztrinke; du muesch zerscht no chli wachse.
WS17	Bis so guet und säg dynere Schwöschter, si söll d'Chleider für eueri Muetter fertig büetze und usbürschte.
WS18	Hettscht en kännt, dänn wärs anderscht cho, und es ging em besser.
WS19	Wer hätt mer myn Chorb mit em Fleisch gschtolle?
WS20	Er hätt tha, wie wänn sy in zum Trösche bschtellt hetted, aber er isch selber go fröge.
WS21	Wäm hätt er die neu Gschicht verzellt?
WS22	Mer mues heepe, suscht verschtaht er's nüd.
WS23	Mir sind müed und händ Durscht.
WS24	Wo mer geschter zabig ume cho sind, sind die andere scho im Bett gsi und händ pfuset.
WS25	Geschter Znacht hätts gschneit, aber hüt de Morge ischt er vergange.
WS26	Hinder eusem Hus stönd drü schöni Öpfelböimli mit rote Öpfeli.
WS27	Chönnd er nüd no es bitzeli warte, mer chömmed au grad mit i?
WS28	Mached kei Lupereie!
WS29	Eusi Berg sind nüd so höch, eui sind vill höcher.
WS30	Wieviel Päärli Würscht und wie vill Brot müend er ha?
WS31	I verstah eui nüd, ihr müend es bitzeli luter rede.
WS32	Händ ihr keis Chlötzli wyssi Seupfe uf mym Tischli gfunde?
WS33	Syn Brüeder will für sich i euem Garte zwei schöni, neui Hüser boue.
WS34	Das ischt em vo Herze cho!
WS35	Das ischt rächt gsy vo nene.
WS36	Was für Vögeli hätt's uf dem Mürli obe?
WS37	d'Bure händ föif Stier und nün Chüe und zwölf Schöfli uf de Märt procht und welle verchaufe.
WS38	Alli Lüt sind hüt uf em Fäld usse und mäjed.
WS39	Lauf nu, de brun Hund macht der nüt.
WS40	I bi mit de Lüte da hinne über d'Wiese is Chorn gfahre.
