---
Bogennummer: '45554'
Ort: Wappenswil
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:57.478123'
...
WS1	Im Winter flüged die trochne Bletter i dr Luft omme.
WS2	's hört gli uf schneie, denn wird 's Wetter wider besser.
WS3	Tue Chole in Ofe, dass d'Milch bald z'choche chunt.
WS4	De guet alt Ma ischt mit em Ross dur's Is broche und i's chalt Wasser gfalle.
WS5	Er ischt vor vier oder sächs Woche g'storbe.
WS6	's Für ist z'gross gsi, d'Chueche sind ja uene ganz verbrännt.
WS7	Er isst d'Eier immer oni Salz und Pfäffer.
WS8	D'Füess tüend mer weh, i glaube, ich hei si durglaufe.
WS9	I bi bi dr Frau gsi und hanere's gseit, und si het gseit, si wölls [?] au ihrer Töchter [?] säge.
WS10	I will's au nüd wider tue.
WS11	I schlag der gli dr Chochlöffel um d'Ohre, du Aff !
WS12	Wo gohst hi, sölled mr miter goh ?
WS13	Es sind schlechti Zite !
WS14	Mi liebs Chind, blieb d'unne stoh, die böse Gäns bissed di z'tod.
WS15	Du häscht hüt am meischte g'lernt, und bischt artig gsi, du darscht [?] früener hei als die andere.
WS16	Du bischt no nüd gross gnueg, um e Fläsche Wi usz'trinke, du muescht z'erscht no wachse und grösser werde.
WS17	Gang, bis so guet, säg diner Schwöschter, si sött d'Kleider füer euri Muetter fertig naihe und mit dr Bürschte suber mache.
WS18	Hettscht du ehn kennt, denn wär's anderscht cho und 's wör besser um ehn schtoh !
WS19	Wer het mer min Chorb mit Fleisch gschtohle ?
WS20	Er tuet so, wie wenns en zuem [?] Trösche bschtellt hetted, si händs aber selber tue.
WS21	Wäm hät er die neu Gschicht verzällt ?
WS22	Me mues lut rüefe, suscht verschtot er eus nüd.
WS23	Mer sind müed und händ Durscht.
WS24	Wo mer geschter z'Obig z'rugg cho sind, sind die andere scho im Bett gsi und händ fescht gschlofe.
WS25	De Schnee ischt die Nacht bi eus liege bliebe, aber hüte morge isch er gschmolze.
WS26	Hinder euserem Huus schtönd drü schöni Öpfelbäumli mit rote Öpfeli.
WS27	Chönd er nüd no e Wili uf eus warte, dän chömed mer mit i.
WS28	Ihr dörfed nüd so Chindereie tribe.
WS29	Euseri Berg sind nüd so höch, euri sind viel höcher.
WS30	Wieviel Pfund Wurscht und wielvel Brot wönd [züridütsch?] er ha ?
WS31	I verstohne eu nüd, ihr müend e chli luter rede.
WS32	Händ ihr kei Stückli wissi Seupfe für mi uf  mim Tisch gfunde ?
WS33	"Sin Brüeder will zwei schöni neui Hüser baue i eirem [oder ""urem"" - statt ""eurem"" aber mit Tippfehler?] Garte."
WS34	Das Wort ischt ihm vo Herze cho.
WS35	Das ischt recht gsi vo ihne !
WS36	Was sitzed do füer Vögeli uf dem Mürli obe ?
WS37	D'Büure händ feuf Ochse und nün Chüe und zwölf Schöfli vor s'Dorf brocht, die händ's welle verchaufe.
WS38	D'Lüet sind hüt alli dusse uf em Feld und mäied.
WS39	Gang nu, de brun Hund tuet der nüt.
WS40	I bi mit de Lüte do hine über d'Wiise is Chorn gfahre.
