---
Bogennummer: '45555'
Ort: Ringwil
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:55.621505'
...
WS27	Chönd er nüd no es Wili uf öis warte dä [zwei 'n' durchgestrichen] chömer ä grad.
WS28	Ir terfed kä derig Streich spile.
WS29	Öiser Berg sind nüd e so höch, öier sind vill höcher
WS30	Wievill Pfund Würscht und Brot wänder.
WS31	Ich verstah-n-öi nüd ir münd e chli luter rede.
WS32	Händ ir e käs Stückli wießi Seupfe vo mir uf em Tisch gfunde.
WS33	Sin Brüede will sich zwei schöni nöii Hüser in oierem Garte boue.
WS34	Das isch em vo Herze cho
WS35	Das isch recht von ene
WS36	Was sitzed da fürigi Vögeli uf em Mürli
WS37	Pure händ föif Ochse und nün Chüe und zwölf Schefli vor's Dorf bracht, die hänz welle verchaufe.
WS38	"D'Lüt sind hüt all dusse-n-ufem [""üfem"" mit durchgestrichenem '¨'] Feld und mäed"
WS39	"Gang nu de bru Hund tu͜tder nüt [oder ev. ""nüd""?]"
WS40	Ich bi mi͜tde Lüte da hine über d'Wise is Chorn gfahre.
