---
Bogennummer: '45557'
Ort: Girenbad bei Hinwil
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:52.409062'
...
WS1	Im Wínter flǖged diä trochne Blättli i der Luft ume.
WS2	Es hört glí̄ ūf schneie, dänn wírd s'Wätter wider besser.
WS3	Tue Chole in Ofe, daß d'Milch bald afangt choche.
WS4	Da guet alt Ma isch mit sīm Roß durs Īs broche u. is chalt Wasser gfalle.
WS5	Er isch vor vier oder sächs Wuche gschtorbe.
WS6	S'Füür isch z'schtarch, die Chueche sínd une ganz schwarz verbrännt.
WS7	Es íßt d'Eier immer ohni Sălz und Pfäffer.
WS8	"D'Füeß tüemer schüüli weh, i glaube í [oder ""ī"" (mit Querstrich)?] häs durloffe."
WS9	Ich bi bider Frau gsī und hänneres gseit, und sie hät gseit sie wells au ihrer Tochter sǟge.
WS10	Ich wills au nüme tue.
WS11	Ich haue dir glīch mit em Shochlöffel [weshalb nicht 'Chochlöffel'?] um d'Ohre ume, du Aff !
WS12	Wo gosch du hī, müemer au miter cho ?
WS13	Das sind schlächti Zīte.
WS14	Mis liäb Chínd, blīb da une schtah, die bȫse Gans bißetich z'tod.
WS15	Du häscht hüt am meischte glehrt und bischt artig gsī, du dörfscht hüt früehner hei gah als die andere
WS16	Du bisch nanig groß gnueg zume Fläsche Wī ustrinke, du muescht z'erscht nachli wachse und größer werde.
WS17	"Gang bisseguet und sāg diner Schwȫschter, sie sōll d'Chleider fūr Euri Muetter [in ""Mūetter"" ist Querstrich durchgestrichen] fertig būetze u. bürschte"
WS18	Hàttschen du gchännt ! s'wàr andersch cho und s'schtāndi besser umen ! [Akzente?]
WS19	Wer hat min Chorb mitem Fleisch Gschtole ?
WS20	Er hāt derno ta, wie wenns en zum Drösche bschtellt hettit, si hānds aber selber gmacht.
WS21	Wäm hāter die neui Gschicht verzellt ?
WS22	Me mues luut brūele, suscht verschtaht er is nöd.
WS23	Mer sind mūed und händ Durscht.
WS24	Wommer geschtert z'Abig ume cho sind, liged die andere scho im Bett und schlafed f. [Zeilenende]
WS25	Dā Schnee isch hūt z'Nacht liege blibe binis, abeer hūt am Morge... [Zeilenende]
WS26	Hīnder eusem Hūs stōnd drei schōni Öpfelbŏimli m. rote Öpfel.
WS27	"Chōnnd er nōd no es Momāntli warte, dānn chōmmed [""m"" mit Verdoppelungsstrich] mer mit i."
WS28	Er dōrfed nōd derig Lumpereie (Chindereie) trībe.
