---
Bogennummer: '45558'
Ort: Riet bei Gibswil
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:55.581532'
...
WS1	Ĭm wĭnter flǖged di trŏchne plĕtter ĭ der lŭft ŭmĕ.
WS2	ĕs hö̆rt grăd schnĕiĕ, dänn wirt 's wä̆ttĕr wĭder bĕssĕr.
WS3	tŭĕ chŏle-n-in ŏfĕ, dăs d'mĭlch băld chŭnt.
WS4	dĕ gŭĕt ălt mā ĭscht mĭt ĕm rŏß ŭf ĕm īs īprŏchĕ ŭnd ĭs chălt wasser ĭĕ gfăle (ghĕit)
WS5	ĕr ĭscht vŏr viĕr ŏdĕr sä̆chs wŭchĕ gschtōrbĕ.
WS6	's fǖr ĭscht z'schtărch gsī, d'chŭĕchĕ sĭnd jă ŭnĕ gănz vĕrbrä̆nnt.
WS7	ĕr ĭssĕt d'ĕiĕr ălĕwīl ōnĭ sălz ŭn-m-pfä̆ffĕr.
WS8	pfüĕß tü̆ĕ mĕr schǖlĭ wē, ĭ glăubĕ-n-ĭ hĕbs dŭrĕglŏffĕ.
WS9	ĭch bĭ bĭ dĕr frau gsī ŭnd hä̆n ĕr ĕs gseit, und sĭ hä̆t gseit, sĭ wĕll's ău ĭrĕr tŏchtĕr sǟgĕ.
WS10	ĭ wĭlls au nü̆mĕ tŭĕ !
WS11	ĭ hău dĕr grăd kĕlĕ-n-ŭm tōrĕ-n-ŭmĕ, dŭ ăff !
WS12	wŏhī gōscht, müĕ mĕr mĭtĕr chō ?
WS13	ĕs sĭnd schlä̆ch zĭtĕ !
WS14	mĭs liĕb chĭnd, blīb dŏ ŭnĕ, dĭ bȫsĕ gä̆nsĕ bīßĕtĭ ztōd.
WS15	dŭ hä̆scht hü̆t ămmeischtĕ glērt ŭmpĭscht ārtĭggsī, dŭ tȫrfscht früĕnĕr hei ăls dĭ ăndĕrĕ.
WS16	dŭ bĭsch(t) nŏ nü̆ggrōß gnŭĕg zŭm ĕ gŭttĕrĕ Wī ūstrĭnkĕ, dŭ mŭesch zērscht nōchlĭ wăchsĕ-n-ŭnggrȫßer wǟrdĕ.
