---
Bogennummer: '45559'
Ort: Wernetshausen
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:57.626561'
...
WS20	Er hätt to, wie wenn's en zum Trösche bschtellt hetted, si händ's aber sälber gmacht.
WS21	Wem hätt er di neu Gschicht verzellt ?
WS22	Mer muess lut rüefe, suscht verschtaht er is nüd.
WS23	Mer sind müed und händ Turscht.
WS24	"Womer geschter z'Abig zrugg cho sind, sind di [oder ""die""?] andere scho im Bett gläge und händ fescht gschafe."
WS25	De Schnee ischt die Nacht bineus ligge bblibe, aber hüte Morge ischt er vergange.
WS26	Hinder euserem Hus stönd drü schöni Öpfelbäumli mit roten Öpfle.
WS27	Chönd er nüd no es Augeblickli uf is warte, dänn gömer mit i.
WS28	Er törfed nüd eso Chindereie trybe.
WS29	Euseri Berg sind nüd überus höch, eueri sind vill höcher.
WS30	Wievill Pfund Wurscht und wievill Brot wend er ha ?
