---
Bogennummer: '45584'
Ort: Maschwanden
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 4d573ff7-71d1-4d74-8ce9-5786d4ce370a
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:54.230976'
...
WS1	Im Winter flügt s'tür Laub i der Luft ume.
WS2	Jetz de hörts schneie und de heiterets wieder uf.
WS3	Leg Schitli a daß d'Milch gli afot süde.
WS4	De guet alt Ma ischt is Wasser gheit mit em Roß, wils Is gha hed.
WS5	Er ischt vor öppe 4 oder 6 Wuche gschtorbe
WS6	De Ofe ischt z'heiß gsi, Tünne sind undefür ganz verbrännt.
WS7	Er ißt d'Eier eister oani Solz und Pfäffer (eister ugsolze und upfäfferet)
WS8	D'Füeß tüe-mer cheibe weh, i glaub i ho Blätz ab (Blatere).
WS9	I bi bi der Frau gsi und ho-n-eres gseit und si hed gseid, si wells irer Tochter au säge.
WS10	I wotts gwüß nüme mache (tue).
WS11	I schlah (hau) der jetz de d'Chelle a Grind ane (here) du cheibe Löli.
WS12	Wo gasch ane, müemer öppe miter cho
WS13	Da sind schlecht Zite!
WS14	Blib det une sta Chindli suscht tüend die die böse Gäns ztod biße
WS15	Du häscht hüt de mescht glert umpischt brav gsi defür törfscht jetz gliner hei als die andere
WS16	Du bisch na z'chli zume ganzi Guttere voll Wi usztrinke, wachs de zerscht nachli.
WS17	Bisso guet unggang säg der Schwöschter, si sell der Muetter ires Gwand fertig büetze und suber usbürschte.
WS18	Wänte du kännt hettischt, wärs anderscht use cho und es schtiend besser mitem.
WS19	Wer häd mer jetzt ächt ä min Chratte mit em Fleisch gschtole?
WS20	Er häd dergliä taa si heigede gheiße cho hälfe trösche, si händs aber glich oni in gmacht.
WS21	Wenn häd er diä neu Gschicht erzellt?
WS22	Me mues fescht hepe, suscht verschtad er is nöd.
WS23	Mer sind müed und händ Turscht.
WS24	Wo mer nächt hei cho sind ischt scho als im Guschi (i de Federe, im Bett) gsi und hed fescht gschlafe.
WS25	Dä Schnee isch hinecht ligge blibe bineus, aber er isch am Morge gli vergange.
WS26	Hinder eusem Hus schtönd drei schön Böum wo rot Öpfel gänd.
WS27	Chöned er nöd noa chli warte, denn chömid mer grad miti.
WS28	Er müend nöd äso eifeltig tue?
WS29	Euser Bärg sind nöd se höch, euer sind vil höcher.
WS30	Wiä mengs Pfund Würscht wänder und wiä mengs Brod?
WS31	Ich verschta-n-eu nöd, ir müend ächli (e bitzeli) luter rede
WS32	Händ er ä-käs Schtückli wißi Seupfi funde uf mim Tisch?
WS33	Si Brüeder wott für sich zwei schöni neui Hüser in euem Garte boue.
WS34	Das Wort ischt em vo Herze cho.
WS35	Das ischt recht gsi von-eu.
WS36	Was sind das für Vögeli wo da uf em Mürli obe hockid?
WS37	Bure händ feuf Stiere und nün Chüe und zwölf Schäfli usse as Dorf pracht, wos händ welle verchaufe.
WS38	D'Lüt sind hüt all ufem Fäld usse und mäid.
WS39	Gang nu, dä brun Hund tuet-er nüd (machter nüd).
WS40	I bi mit däne Lüte da hinde dur t'Matte it Frucht gfare.
