---
Bogennummer: '45593'
Ort: Cham
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 79ab159f-a536-40fd-9266-b0bfe4f8b295
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:51.321088'
...
WS1	Jm Winter flügid di drochne Blätter i de Loft ome.
WS2	Es hört jetz de uf schneie, de wirds'Wätter wider besser.
WS3	Tue Chole i Ofe ie, dass d-Milch bald afod choche.
WS4	De guet alt Ma isch mit em Ross durs Is broche und is chalt Wasser gfalle.
WS5	Er ischt vor vier oder sächs Woche gschtorbe.
WS6	S'Für ischt tschdarch gsi Kueche sind jo unde ganz schwarz abrönnt.
WS7	Er isst d'Eier immer ohni Salz und Pfeffer.
WS8	D'Füess düemer recht weh, i glaub i ha si duregloffe.
WS9	J bi by dr Frau gsi und has ehre gseid und si hed gseid, si wells au ihrer Tochter säge.
WS10	J wills au nümme mache.
WS11	J schlo di grad mitem Chochlöffel um d'Ohre ume, du Aff.
WS12	Wo gohscht du he, sellid mer miter goh?
WS13	Es sind schlächti Zite.
WS14	Mis liebs Chend, blib do unde stoh, di böse Gäns bissid di tod.
WS15	Du hescht hüt am meschte glehrt und bischt artig gsi, du darfscht früener hei go weder di andere.
WS16	Du bischt no ned gross gnue, um e Fläsche Wi ustrinke, du muescht no öppis wachse und grösser werde.
WS17	Gang, bis so guet und säg diner Schwöschter, si sell d'Chleider für eui Muetter fertig nehe und mit de Bürschte suber.
WS19	Wer hed mer mi Chorb mit em Fleisch gschtole.
WS21	wem heder die neui Gschicht verzählt?
WS22	Me muess lut schreie, soscht verstohd er eus ned.
WS23	Mer sind müed und händ Durscht.
WS26	Hinder eusem Hus stönd drö schöni Oepfelbäumli mit rote Oepflene.
WS27	Chönid er nid no es Augeblickli of eus warte, de gömmer mit euch.
WS28	Er dörfid ned dere Chindereie triebe.
WS29	Eusi Berg sind ned gar höch, eui sind vil höcher.
WS30	Wi mängs Pfund Worscht & wieviel Brod wender ha?
WS31	J verstone eu ned er müend e chli luter rede.
WS33	Si Brüeder will sech zweu schöni neui Hüser i euem Garte boue.
WS34	Das Wort ischem vo Herze cho.
WS35	Das ischt recht gsi vo ihne
WS36	Was sitzid do für Vögeli obe ufem Mürli.
WS37	Bure händ feuf Ochse und zwölf Schöfli und nün Chüe vors'Dorf brocht, die wänd si verchaufe.
WS38	D'Lüt sind hött alli ufem Fäld osse und tüend mähe.
WS39	Gang nor, de brun Hond tuet der nüd.
WS40	J bi mit de Lüte do hinde über d'Matte is Chorn gfahre.
