---
Bogennummer: '45595'
Ort: Oberrüti
Gid: 17427
Transliterent: fellmann
Anmerkungen: "Der Lehrer versucht möglichst genau phonetisch zu schreiben. Dazu setzt\
  \ er unter dem Wort jeweils ich Klammern den zu hörenden Laut; das Wort schreibt\
  \ er aber 'normal deutsch'. In der Transkription schreibe ich das Wort so, wie es\
  \ zu hören ist und dahinter in runden Klammern, das Wort wie vom Lehrer notiert.\n\
  Beispiel Satz 3: Im Bogen notierte der Lehrer ... bald ... und unter 'l' steht '(u)';\
  \ Notation in der Transkription:  ... baud (bald) ...\n\nKann es sein, dass der\
  \ Lehrer das IPA-Zeichen \"Breathy voiced\" (1. Zeile und mittlere Spalte) aus der\
  \ DIACRITICS-Tabelle in \nhttps://www.internationalphoneticassociation.org/IPAcharts/IPA_chart_orig/pdfs/IPA_Kiel_2020_full.pdf\n\
  verwendet?"
Erstelldatum: 2022-01-05 19:11:19.352284
Änderungsdarum: 2022-01-13 15:42:23.239327
...
WS1	ìm Wìnter flüügid‿di trochne blètter i de Lùft ùme.
WS2	s' hö̀rrt bald-äne.-n-uf mit schnèije, dè wìrd‿dè s' wätter scho wìder besser.
WS3	tue chòle-n-i òfe-n-ie, as d' mìuch baud (bald) afòg‿chòche  (afòd‿chòche).
WS4	dè guet aut (alt)  maa ösch mìt-em ròss dùrs iis dùre bbròche-n-und i's chaut (chalt) wasser ie gfalle.
WS5	e̊r ösch vòr vier [unter 'e' stehen zwei Pünktchen - wie ein Trema unter dem Buchstaben] òder sächs woche gstoorbe.
WS6	s' füür ösch  d'‿starch (z'‿starch) gsii, de chueche-n-ösch jò ùndefǜǜr ganz verbrö̀nnt.
WS7	e̊r ìsst‿di äier ìmmer òni sauz (salz) ùm‿pfäffer (ùnd‿pfäffer).
WS8	pfüess tüemmer ùsìnnig weh, i glaube-n-i ha si abglaufe.
WS9	i bè bi de frau gsii ùnd han e̊r-es gsäid, ùnd‿si hèg ͜ gsaid  (hèd‿,gsaid),  si weus (wells) dè au i ìrer tòchter sääge.
WS10	i wòtt's dè ä nǜmme machche.
WS11	i schlòh de̊r grad‿mìt em chòchlö̀ffu a d' oore-n-äne, du aff !
WS12	wo gòòsch hee, müemmer mìt‿de̊r choo ?
WS13	s'‿sìnd‿schlächti ziite !
WS14	liebs [unter 'e' stehen zwei Pünktchen] chìnd, bliib lieber [unter dem 1.'e' stehen zwei Pünktchen] dò ùnde stòh, sösch biisid ͜-ti di bööse gäns ztood.
WS15	du hèsch hǜtt am meischte gleert ùm‿pisch (und‿bisch) artig‿gsi, de̊ darfsch jetz früener heigoh as di andere.
WS16	du bìsch noni grooss gnue, as g'‿chaisch (d'‿chaisch) [unter 'a' stehen zwei Pünktchen] e fläsche wii uustrìnke, du muesch [unter 'e' stehen zwei Pünktchen] zèrsch nòcheli wachse-n-ùnd gröösser wèrde.
WS17	gang, bìs so guet [unter 'e' stehen zwei Pünktchen] ùnd säg i diner schwö̀schter (schwö̀ster), si sèll d'‿chleider fǜr euji muetter fèrtig büeze ùnd suuber bǜǜrschte.
WS18	wö̀nnt-e̊-du nùr gchö̀nnt hättisch, dè wèr's andersch ùsechoh, ùnd s' stieng [unter 'e' stehen zwei Pünktchen] bèsser mìt-e̊m.
WS19	wer hed-͜ me̊r mi choorb‿fleisch gstòle ?
