---
Bogennummer: '45600'
Ort: Hirzel
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: fb569862-e47a-4b32-8dc5-5410ffb98e13
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:53.031012'
...
WS22	Me mueſ lŭŭt brüele, suscht verschtaht er eim nüd.
WS23	Mer sind müed und händ Turscht.
WS24	Wo mer geschter zabig zrugg cho sind, do sind diè andere scho im Bett gsi und händ scho fescht gschlafe.
WS25	De Schnee isch hi nicht bineus ligge bblibe, aber hütemorge isch er gschmulze.
WS26	Hinder eusem Hus, schtönd drü schöni Öpfelbäumli mit roten Öpfeli dra.
WS27	Chönd er nüd no es bitzeli (è chli) warte, dänn gömmer mit i.
WS28	Ir törfed nud è sertigi Buèbèréiè mache.
WS29	Eusi Bärge sind nüd so höch, eueri sind vill höcher (eusi eui.)
WS30	Wiè mängs Pfund Wurscht mit wivil Brot wänder ha?
WS31	Ich verstahn i nüd, er müend e chli lüter rede.
WS32	Händ ir keis Schlückli vii fie Leupfe für mich uf mim Tisch gfunde
WS33	Sin Brüeder vott sich zwei schöni neui Hüüser in euem Garte boue.
WS34	Das (Säb) Wort ischtem vo Härze cho.
WS35	Das isch rächt gsi von eue.
WS36	Was für Vögeli hocked det uf em Hüüsli.
WS37	'Puure händ föif Ochse und nüün Chüe und zwölf Schöfli vors Dorf use bbracht, die händs welle verchaufe (eh)
WS38	D'Lüüt sind alli dussenufem Fäld und mäjd (mäjèd tünd Mäje)
WS39	Ganz uu, d'bruun Hund tuet(macht) dr nüüt.
WS40	Ich bi mit dene Lüüte da hine über d'Wise is Chorn gfahre.
