---
Bogennummer: '45612'
Ort: Lachen
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: b6393665-92ed-455a-b293-30ff725345d3
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:53.805873'
...
WS1	Im Winter flüged die trochne Bletter i de Luft umänand. 
WS2	Es hört bald uf schniä, dä wird z'Wätter wieder besser. 
WS3	Ghi bholä i dr ofä, dass d'Milch bald südd. 
WS4	Dä guet alt Ma isch mitem Ross is Is ighit und is chalt Wassär gfalä. 
WS5	Es isch vor viär odr sächs Wuche gstorbä.
WS6	Z'Für hät z'starch brännt, d?Chuechä sind jou unde ganz verbränt. 
WS7	Er isst d'Eier immär uni Salz und Pfäffer. 
WS8	D'Füess düendmer starch wei, ich glaubä, ich has duregloffä. 
WS9	Ich bi dr Frau gsi und hanneres gseit, und sie häd gseit, sie wells au ihrer Tocher säge. 
WS10	Ich wills au nümä tue. 
WS11	Ich schlouder grad middr bhellä um d'Oure, du Aff. 
