---
Bogennummer: '45639'
Ort: Sattel
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 8a7d3227-2653-49a8-af6d-40b659491494
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:56.021106'
...
WS1	Im Winter flügit diä trochäna Blettr i dr Luft umä.
WS2	Es hört grad uf z schniä, dä wird z Wätter wiedr besser.
WS3	Tuä Cholä i Ofä, dass d Milch gli südt.
WS4	Dr guät alt Ma isch mitm Ross durs Isch brochä & is chalt Wasser gfallä.
WS5	Er isch vor 4 oder sächs Wuchä gschtorbä.
WS6	Z Für isch zsch[t]arch gsi, chuächä sind ja unnäfür gar schwar brännt.
WS7	Er isst dEier äistig ohne Salz und Pfäffer.
WS8	DFüss dümär starch wehi, ich glaubä i has dur glaufä.
WS9	Ich bi bi dr Frau gsi & has ihrä gsäit & si hed gsäid, si wels au ihrer Tochtr sägä.
WS10	Ich will s nümmä tua.
WS11	I schladr dr gr[a]d dr Chochlöffl umä Grind umä du Aff.
WS12	Wo gascht hi, söllemr au mitr chou[?]
WS13	Es sind schlächt Zitä.
WS14	Mi liebs Chind blib hie unä stah die bösä Gänsä bikiti z tot.
WS15	Du hest hüt am meistä glehrt & bist artig gsi, du darfst früöhner hei ga als die andärä.
WS16	Du [...] no nit groussegnuäg um ä Fläschä Wi us z trinkä, du muäst zerst nu ä chli wachsä & gröüsser wärdä.
WS17	Bis so guät,& säg diner Schwöster d Kleider für üi Muettr fertig büetzä und mit dr Bürstä subr machä.
WS18	Hädist du ihn kännt, dä wärs anderist cho und äs dät besser mit ihm stah.
WS19	Wer hed mr mi Chorb mit dsa[m]tum Fleisch g'stohlä[?]
WS20	Er het da, als hätäzä zum Tröschä bstellt, sie hends aber sälbr gmacht.
WS21	Wem hedr dä nü Gschicht verzehlt[?]
WS22	Mä muäss lärmä sust verstadr üs nid.
WS23	Mir sind müed & händ durst.
WS24	Als mir gestr Zabig hei chuo sind, sind diä andärä scho im Bett gsi & hend fest gschlafä.
WS25	Dr Schneei isch diä Nacht bi üs liegä bliebä abr hüt istr vergangä.
WS26	Hinter üsem Hus stand 3 schöni öpfelbäumli mit routä öpfläna.
WS27	Chönd nid nu äs Augäblikli ufis wartä, dä chamämär mit üch.
WS28	Jher dörfid nid ä so chinderiä triebä.
WS29	üsi Bärg sind nid so höch, üi sind viel höcher.
WS30	Wievil Pfund Würst & wövl Brout müendr ha[?]
WS31	Jh verstahnich nid iher müend äs bizäli luter redä.
WS32	Hend ier ä keis Stückli wissi Säupfi für mich ufm Tisch gfundä[?]
WS33	Si Brüedr will für sich zwei schöni nüi Hüser i ühm Gartä buä.
WS34	ZWort chund m vo Härzä.
WS35	Das ist rächt gsi vo üch.
WS36	Was sitzit da für Vögäli uf m Mürli[?]
WS37	D Bürä hend füf Ochsä, und nün Chüä und zwölf Schäfli vor s Dorf brungä diä hend s wellä verchaufä.
WS38	D Lüt sind hüt all ufm Fäld ussä und mähid.
WS39	Gang nur dr brun Hund duetr nüd.
WS40	Jch bi mit dä Lütä da hinä über d Matt is Chorä usä gfarä.
