---
Bogennummer: '45670'
Ort: Unteriberg
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: a5acd6e9-18e3-4220-8021-d1fba86ad207
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:57.149785'
...
WS1	Im Winter flügid di trochnä Blett[e]r i dr Luft umä [..] anä.
WS2	Es hört grad uuf z'schniä, de wird z'Wätt[e]r wid[e]r bess[e]r.
WS3	Tuä Chohlä i Ofä inä, as d'Milch gleitig afad südä.
WS4	Dr guet, alt Ma isch mit em Ross dure Ys ybrochä und is chalt Wass[e]r trolet.
WS5	Är isch vor öppä vier oder sächs Wuchä gstorbä. 
WS6	Z'Füür isch z'starch gsy, Kuechä sind ja undä ganz schwarz abrännt. 
WS7	Är isst d'Eier immer ohne Salz und Pfäffer. 
WS8	Füess tüemer ä so we[i], ich glaubä ich ha's duräglauffä. 
WS9	Ich by bi dr Frau gsy und haneres gseid, und sie hed gseid, sie wells ihrer Tochter (Maitli) au sägä.
WS10	Ich wills nümmä tue.
WS11	Ich butz dr grad mit dr Chochchellä, du Aff! 
WS12	Wo gasch du hie, sölli mit dr cho?
WS13	Äs sind schlächt Zytä.
WS14	Mi liebs Chind, blyb da undä stah, diä böisä Gäns biissid dich z'tod. 
WS15	Du hesch hüt am meischtä glehrt und bisch brav gsy, da chasch defür früener hei gah as disi. 
WS16	Du bisch nu nid gross gnueg zum ä Fläschä Wy us z'trinkä, du muesch z'ersch nu wachsä & gröisser wärdä.
WS17	Bis so guet & säg diner Schwöschter, sie säll z'Gwand für üi Muetter fertig büezä & mit dr Bürstä suber butzä.
WS18	Hättisch ä du kännt! de wärs anderisch usächo und äs tät besser umenä stah. 
WS19	Wr hetmier de Chrob mitem Fleisch gschtohlä?
WS20	Är het ä so ta, as we wänn's ä zum Dröschä bschtellt hättit; sie hend aber alles sälber ta. 
WS21	Wemm het är die nü Gschicht verzellt? 
WS22	Me muess luut brüelä, susch verstaht er üs nid. 
WS23	Mier sind müed und hend Durscht. 
WS24	Wo mier geschter Abig zrugg cho sind, duä sind di anderä scho im Bett glägä & hend chäch gschlafä.
WS25	Dr Schnee isch diä Nacht bi üs liggä blybä, aber hüt am Morgä ischr gschmulzä. 
WS26	Hinder üsem Huus stönd dry schöini Öpfelbäumli mit rotä n'Öpfäli. 
WS27	Chönid ir nid nu än Augäblick uf üs wartä, de gömmer au midich. 
WS28	Ier dörfid nid ä sölig Chinderie trybä. 
WS29	Üsi Bärg sind nid ä so höich, üi sind viel höicher. 
WS30	We mängs Pfund Würscht und weviel Brod hender wellä? 
WS31	Ich v[e]rstah'n üch nüd, ier müend äs bitzäli lüterer redä. 
WS32	Hender nid es Möckli wyssi Seupfi für mich uf mim Tisch gfundä. 
WS33	Sy Brüeder wott zwei schöini nüi Hüüser i üem Gartä buä. 
WS34	Änes Wort isch em vo Härzä cho. 
WS35	Das isch rächt gsy vonech.
WS36	Was hockid (sitzid) da für Vögäli ufem Müürli obä? 
WS37	Die Buurä hend füüf Ochsä und nün Chüeh und zwölf Schäfli vor z'Dorf anä brungä; die hends wellä verchaufä. 
WS38	All Lüt sind hüt ufem Fäld ussä. 
WS39	Gang nu, dr brun Hund tuet dr nüd. 
WS40	Ich bi mit de Lütä dahindä über Mattä is Korä gfahrä. 
