---
Bogennummer: '45685'
Ort: Gurbrü
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: a65238f7-0190-42c6-88cc-613ac205893f
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:52.638524'
...
WS1	Jm Winter flüge di düre Bletter i d'r Luft ume. 
WS2	Es tuet sofort ufhöre schneie, de wird de d's Wätter ume besser. 
WS3	Tue chlei schaute, dass d'Milch bau chunnt. 
WS4	Dä guet aut Ma isch mit em Ross dür d's Jsch i d's chalte Wasser gheit. 
WS5	Er isch vor vier oder sächs Wuche gstorbe. 
WS6	D's Füür isch viu z'starch gsi, d'Chueche si ja unger ganz verbrönnt. 
WS7	Er isst d'Eier ging ohni Sauz u ohni Pfäffer. 
WS8	D'Füess füe mer soumässig weh, i gloube, i syg düre gloffe.
WS9	J bi bi dr Frou gsi u ha r es gseit, u si het gseit, si wöu's de o ihrer Tochter (Meitli?) säge. 
WS10	J wott's o nümme mache. 
WS11	J gibe dr grad eis mit em Chochlöffu uf d'Ohre, du Aff!
WS12	Wo geisch hi, söi mer mit dr cho?
WS13	D'Zyte sy schlächt!
WS14	Liebs Ching, blyb hie unger stah, süsch bysse di di böse Gäns grad z'tod.
WS15	Du hesch hüt em meischte glehrt u hesch gfouget, du darfsch früecher hei aus die angere. 
WS16	Du bisch no nid gross gnue, für ganz e leini e Fläsche Wy usztrinke, du muesch zersch no chlei wachse u grösser wärde. 
WS17	Bisch so guet u gang säg dir Schweschter, si sou d'Chleider für eui Mueter fertig mache u guet bürschte.
WS18	We de ne g'chennt hättisch, de wärs angers cho un-er wär besser dra. 
WS19	Wär het ner my Chorb mit em Fleisch gstole?
WS20	Er het grad so ta, wie we si ne hät zum Trösche bsteut gha, si hei's aber säuber gmacht gha. 
WS21	Wäm het er di nöi Gschicht erze̱u̱t?
WS22	Mi mues brüele, süsch versteit er eim nit.
WS23	Mier sy müed u hei Durscht. 
WS24	Wo mer geschter sy hei cho, hei di angere scho fest pfuuset (gschlafe, gschnoderet). 
WS25	Dr Schnee isch nächti bi üs no plibe, aber hüt e morge isch er vergange.
WS26	Hinger üsem Hus schtange drü schöni Öpfuböimli mit rote-n-Öpfeli. 
WS27	Chöit dr nid no e chlei warte, mier chöme de o grad mit näch.
WS28	Dir dörft doch nid so chindlich sy. 
WS29	Üser Bärge si nid grad höch, öier si viu höcher. 
WS30	Wi mängs Pfung Wurscht u wi viu Brot weit dier?
WS31	J verstah n-ech nid, dier müesst gwüss e chlei luter rede. 
WS32	Heit dr uf mym Tisch für mi ke wyssi Seife gfunge. 
WS33	Sy Brueder wott i öiem Garte für sich zwö schöni nöii Hüser boue. 
WS34	Das Wort isch ihm vo Härze cho. 
WS35	Daisch rächt gsi vo-ne.
WS36	Was sy dört für Vögeli obe uf em Mürli?
WS37	D'Bure hei föif Stiere u nün Chüe u zwöuf Schaf vor d'Dorf bracht, di hei si wöue verchoufe. 
WS38	D'Lüt sy hüt aui dusse uf em Fäu u mähie. 
WS39	Gang nume, dr brun Hung macht dr nüt.
WS40	J bi mit dä Lüt da hinger über d'Matte i ds Chorn gfahre.
