---
Bogennummer: '45687'
Ort: Gempenach
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: a65238f7-0190-42c6-88cc-613ac205893f
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:52.355286'
...
WS1	Jm Winter flüge di trochene Bletter i der Luft ume. 
WS2	Es hört uf schneie, u z'Wätter wird wider besser. 
WS3	Tuä Cholen i Ofä, dass d'Miuch bau afat choche. 
WS4	Dr guät aut Ma isch mit em Ross iz Ysch broche un i ds chaute Wasser gheit. 
WS5	Er isch vor vier oder sächs Wuche gstorbe.  
WS6	Z'Für isch z'starch gsi, d'Chuäche si undä ganz verbrönnt.
WS7	Är isst d'Eier immer ohni Sauz u. Pfäffer. 
WS8	Pfüäss tüä mer weh, igloubä n'i heig se düregloffä. 
WS9	J'bi bi der Frou gsi und hares gseit, und si het gseit, si wöus o ihrer Tochter säge. 
WS10	J wots niä me mache. 
WS11	J schla der der Suppelöffu ume Gring, du Aff. 
WS12	Wo geisch hi, söi mer mit cho?
WS13	Äs si schlächti Zite. 
WS14	Liebs Ching blib hie stah, d'Gäns tüä di süsch frässe. 
WS15	Du hesch hüt äm meischte glert und bisch brav gsi, du darfsch ender hei ga aus di angere. 
WS16	Du bisch no nid gross gnuä fer nä Fläsche Wi z'trinke, du muesch zersch no chli wachse. 
WS17	Gang u säg der Schwöschter si sou g'Chleider fer eui Muäter näie-n-u bürschtä.
WS18	Hättisch du ne g'chennt so wär es anders cho unäs schtiang besser mit ihm. 
WS19	Wär het mer mi Chorb Fleisch gstole?
WS20	Är het gmacht wi wenn si ne zum Dröscha hätte bschteut gah, si heis aber säuber gmacht. 
WS21	Wäm het er z'neue Gschichtli ärzëut?
WS22	Mi muess lut brüälä, süsch verschteit er üs nid. 
WS23	Mir si müed u hei Durscht.
WS24	Wo mer geschter äm Abe zrügg cho si si di angere im Bett gläge u hei fescht gschlafe. 
WS25	Der Schnee isch i der Nacht blibe, aber hüt isch er vergange. 
WS26	Hinger üsem Hus schto drei schöni Öpfuböim mit rote-n-Öpfeli. 
WS27	Chöit er nid no chlei warte, de chöme mer o mitech. 
WS28	Tüät nid chindele. 
WS29	Üsi Bärge si  nid höch, eui si höcher. 
WS30	Wi viu Wurscht u Brot weiter?
WS31	J verschtangenech nid, dir müesst luter rede. 
WS32	Heiter nid es Schtückli wissi Seife uf mim Tisch gfungä?
WS33	Si Brueder wot i euem Garte zwö schöni nöii Hüser bouä. 
WS34	Z'Wort isch im usem Häru cho. 
WS35	Das isch rächt gsi vo nä.
WS36	Was hocke da für Vögeli uf em Mürli. 
WS37	D'Bure hei füf Ochse, nün Chüä und zwöuf Schäfli vor z'Dorf bracht, di hei si wöue verchoufe.
WS38	D'Lüt si hüt aui uf em Fäud usse u mäie. 
WS39	Gang nume der brun Hung tuät dr nüt. 
WS40	J bi mit de Lüt da hinger über d'Matte ids Chorn gfahre. 
