---
Bogennummer: '45695'
Ort: Guschelmuth
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:52.650412'
...
WS28	Jhr törfet nit settigs tums Züg tribe.
WS29	Üser Bärge si nit so hoi, euer si vöu höier.
WS30	Wi mengs Pfun Wurscht u wi vöu Brot weiter ha ?
WS31	J verschtanůch nit, ir müesst as bizli föschter rede.
WS32	Heit ihr keis Schöcki wissi Söfa fur mi [sehr dünn geschrieben] ufom Tösch gfune ?
WS33	Si Brueder wot zwe schöni nüi Hüser ineuem Garte bue.
WS34	Das Wort isch mů  vom ['m' ganz dünn] Härz cho.
WS35	Daschön gsi va nöch.
WS36	Was sitze da vor Vögelini ufem Mürli ?
WS37	Pure hei füf Schtiere u nün Chüe u zwölf Schäflini vor z' Dorf prunge, si heissi welle verchoufe.
WS38	Hüt si Tlüt alli dusse ufem Fäld u meie.
WS39	Gang nume, de brun Hun machtr nüd.
WS40	J bi mit de Lüt da hinder, über Matta i Z' Chor gfahre.
