---
Bogennummer: '45708'
Ort: Berg
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: a29fef99-7fc3-4044-b465-a1cd6c93f8d2
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:50.675472'
...
WS1	Im Winter flüg di trochene Bletter i dr Luft ume.
WS2	Es hört bald uf z'schneie, de wird ds wätter wider besser
WS3	Tue Chole i Ofe, dass d'Milch bald faht afa choche
WS4	Dr guet alt Ma isch mit em Ross dür ds'Isch gheit u i ds'chalt wasser gfalle
WS5	Er isch vor vier oder sächs wuche gschtorbe
WS6	Ds-Füür isch z'scharch gsi, Kueche si unger ja ganz schwarz verbrönnt.
WS7	Er isst d'Eier immer ohne Salz u Pfäffer
WS8	D-Füess tüe mr hert weh, i gloube i bi dür glüffe.
WS9	I bi bi dr Grou gsi u ha ne-resgseit u si het geseit si wells o ihrer Tochter säge.
WS11	I schlah dr gli dr Chochlöffu um d'Ohre, du Aff.!
WS12	Wo geisch du hi, sölle mier mit d'r cho?
WS13	Es si schlächti Zyte.
